0: 453,523,636,629,17,50
6: 481,248,666,34,427,660
7: 226,457,621,690,242,98
8: 323,698,144,692,430,607,418
9: 636,442,629,293,701,758,205
10: 253,387,622,467,391,745,590
11: 424,646,198,123,429,345,235
12: 342,352,615,422,232,640,161
13: 702,454,644,338,349,537,465
14: 507,35,780,723,528,151,97
15: 215,334,358,732,68,583,656
16: 541,529,114,510,142,508
17: 522,238,629,0,50,288
18: 774,515,354,83,490
19: 575,257,239,59,538,217,180
20: 62,432,634,375,177
21: 247,331,207,563,409,502
22: 347,689,684,478,597,356,138
23: 593,207,189,787,330,89
24: 144,692,619,99,276,380,722
25: 491,552,401,313
26: 739,58,305,446,408,244,428,762
27: 650,340,268,630,336,426
28: 314,143,89,168,474,258
29: 241,196,769,435,482,106
30: 132,354,749,282,295,696
31: 265,266,357,699,531,521,154
32: 106,578,378,647,547,105,369,793
33: 675,230,694,280,170
34: 142,209,135,433,666,248,6
35: 128,14,780,385,97,296
36: 153,622,618,68,213,391
37: 480,326,456,317,234,478,348
38: 657,149,485,217,575,770,167
39: 91,275,772,471,312,567,719,689
40: 250,783,628,119,697,321,342,352
41: 300,661,522,363,158,504,288
42: 191,287,766,272,660,481,171,744,396
43: 419,604,152,209,135,748,329
44: 544,632,686,116,335,80,376,791
45: 64,284,410,667,460,533
46: 577,632,686,56,332,789,556
47: 710,669,663,423,489,311
48: 441,233,649,359,110
49: 705,737,102,673,88
50: 551,740,288,17,453,374,0
51: 239,346,438,165,462,416,157,605
52: 535,506,763,704,665,76,227
53: 467,344,290,355,680,163,425
54: 735,674,549
55: 487,459,415,530
56: 249,222,332,730,789,477,136,577,46
57: 327,509,200,738,379
58: 26,739,69,289,244,428
59: 343,538,239,578,647,19,180
60: 409,502,710,311
61: 357,603,125,648,190,544,376
62: 20,432,472
63: 552,401,754,705,104
64: 45,284,368,392,121,533
65: 176,310,435,765,145,441,384
66: 561,540,160,587
67: 569,141,599,198,123,702,454
68: 213,583,15,36,153,656
69: 739,58,289,270,439,310,196
70: 240,594,388,751,728,620
71: 95,260,600,362,461
72: 406,755,564,455,353,529,173
73: 524,721,286,229,246,121
74: 96,652,164,265,204,129,790,581,360
75: 635,293,671,436,521,129,652
76: 665,400,711,52,763
77: 434,717,353,741,394,700,755
78: 726,733,90,341,259
79: 124,443,90,259,598,545
80: 451,791,44,116,174,746,476
81: 251,291,449
82: 273,514,99,210,683,785
83: 132,354,515,713,208,18
84: 643,146,704,366,227,574
85: 351,111,518,115,406,753
86: 355,512,163,621,456,317,120
87: 654,723,468,664,382,614,550,528
88: 566,771,147,49,737,673
89: 28,314,143,168,787,593,23
90: 78,726,595,443,79,259
91: 499,39,772,511,689
92: 323,698,242,724,274,373
93: 718,223,175,445,609
94: 654,468,102,673,566,687,507
95: 407,260,71
96: 74,652,536,164,360,641
97: 114,151,444,35,14,780,296
98: 480,685,456,7,621,242
99: 273,82,683,276,24,619
100: 580,393,168,677,447
101: 107,137,527,497,602,108
102: 49,705,673,104,94,468
103: 682,610,219,458,236,586
104: 705,102,63,754,664,468
105: 191,547,287,32,369,793,365,178
106: 32,378,647,29,769,482
107: 137,101,642,527,558,166
108: 193,473,602,307,573,137,101
109: 422,658,779,149,389,784,226
110: 706,696,776,649,48,233
111: 85,216,351,115,169,206
112: 436,279,398,786,358,495,635
113: 356,138,534,461,202,271
114: 97,444,16,541,296,420,508
115: 130,375,169,518,85,111
116: 255,335,44,80,791,746
117: 542,555,315,601,537,254
118: 399,262,122,476,790,707,204,581
119: 598,498,659,250,40,628
120: 613,317,627,86,163,456
121: 246,392,540,286,73,64,368
122: 399,118,707,324,182
123: 198,11,429,599,681,67
124: 282,443,79,295,333,545,757
125: 603,61,708,648,190,172,171
126: 509,271,202
127: 735,674,675,237,411
128: 687,35,780,566,532,582,385
129: 265,204,521,75,74,652
130: 115,375,432,434,224,518
131: 747,513,464,303,606
132: 354,83,30,713,212,749,714
133: 603,699,172,396,285,279
134: 709,626,794,499,186,463
135: 142,209,34,43,248,329
136: 477,410,728,388,56,730,789
137: 107,101,108,193,743,166
138: 113,356,347,370,22,200,271
139: 607,600,418,326,234,534
140: 371,321,584,783,352,422,779
141: 767,67,569,454,414,148
142: 510,508,209,135,34,16,433
143: 28,89,168,593,393,194,669
144: 24,692,619,373,698,8
145: 441,233,65,346,438,384
146: 426,643,84,704,520,756,506
147: 737,264,88,771
148: 767,141,184,414,588
149: 657,38,784,371,485,109,779
150: 263,304,617,195,637,334,732,571,592,442
151: 97,444,220,14,528,720,759
152: 43,419,750,332,556,748,329
153: 253,36,622,68,263,304,656
154: 436,521,279,357,699,31
155: 493,364,611,324,466,306
156: 420,433,666,220,712,225,390
157: 485,605,217,239,51
158: 319,363,447,522,325,41
159: 193,743,542,315,197,484
160: 218,587,693,66,548
161: 274,483,12,422,658,640
162: 582,267,530,633,181,385,741,716
163: 355,86,467,53,120,627,425
164: 96,74,652,701,671,641,205
165: 231,462,565,51,346,416
166: 192,558,107,137,743
167: 452,770,383,575,657,38
168: 28,143,89,258,677,100,393
169: 115,375,557,177,111,206
170: 568,446,33,675,280,237
171: 172,744,481,708,42,125
172: 171,744,396,603,125,133,285
173: 541,529,625,394,72,755
174: 302,707,746,80,451,476
175: 243,328,223,403,93,609
176: 310,65,428,359,739,441
177: 475,557,20,634,375,169
178: 365,245,105,458,369,586
179: 184,670,283
180: 458,369,236,793,59,578,19,257
181: 459,777,162,530,741,717
182: 306,469,787,324,399,122,314
183: 653,379,463,626
184: 414,670,148,179
185: 664,382,280,754,313,694,500
186: 327,463,511,370,499,134
187: 709,450,579,503,527,497
188: 218,587,413,392,214,533
189: 207,563,23,330,328
190: 556,748,648,544,61,125,376
191: 547,42,287,766,105,272,378
192: 361,558,166
193: 108,159,473,743,137,542
194: 710,669,775,143,593,207
195: 150,617,679,592,589,516
196: 29,241,769,69,439,310,435
197: 159,743,484
198: 646,11,123,616,67,569,612,760
199: 645,211,277,228,424,639
200: 509,271,138,370,57,327
201: 537,465,381,367,366,574
202: 362,461,113,126,271
203: 676,764,642,361,558
204: 265,266,129,118,476,790,74,581
205: 238,641,701,164,9,629
206: 594,731,169,557,216,111
207: 593,563,189,23,21,194,775,502
208: 554,713,252,691,515,83
209: 510,142,135,34,43,604
210: 596,292,615,514,82,785
211: 645,199,580,663,228,505,489
212: 411,448,554,713,132,714
213: 221,68,651,583,618,219,36
214: 460,533,782,188,413,611
215: 15,358,560,398,517,786,221,583
216: 351,111,206,594,388,249,730
217: 485,157,239,19,575,257,38
218: 188,160,587,413,496,548
219: 103,618,610,586,213,651,773
220: 151,444,720,759,539,225,156,420
221: 213,651,583,560,245,215
222: 249,56,332,377,269,750
223: 496,548,403,761,93,718,175
224: 434,717,472,777,432,130
225: 712,270,539,220,156,420
226: 7,457,658,109,389,690,483
227: 307,573,574,52,84,704,665
228: 300,505,235,199,211,424
229: 246,561,524,73,736
230: 33,675,549,491,674
231: 165,462,757,565,333,498
232: 576,640,683,785,12,615
233: 145,48,441,110,776,462,346
234: 534,684,478,326,37,139,348
235: 228,300,661,424,11,345
236: 458,180,586,575,257,452,103,682
237: 411,448,127,675,568,170,688
238: 17,522,325,641,205,629
239: 51,438,384,59,538,157,217,19
240: 594,70,731,386,291,350,751
241: 29,196,769,712,439,390,585
242: 323,92,724,690,7,685,98
243: 330,175,328,493,403,306,469
244: 408,339,562,725,26,58,289
245: 365,560,178,586,221,651
246: 229,561,540,121,73
247: 331,21,409
248: 481,708,6,135,34,329
249: 56,222,730,216,351,377
250: 40,372,659,119,464,697
251: 81,291,752,475,386
252: 417,691,554,208
253: 387,153,622,10,304,650,337
254: 414,670,537,644,117,555
255: 397,281,116,335,412,746
256: 415,264,267,633
257: 19,575,217,180,236,452
258: 308,526,474,28,168,677
259: 341,372,78,90,79,598,659
260: 430,607,600,95,407,71
261: 437,681,672,551,504,429,345
262: 399,118,790,526,474,581
263: 304,150,617,637,656,732,153
264: 771,147,256,267
265: 266,204,31,129,521,790,74
266: 265,204,31,531,451,476,790
267: 162,582,633,256,264,532,771
268: 525,589,630,756,27,426
269: 419,604,750,753,455,377,222,332
270: 712,439,225,539,69,289
271: 126,509,200,113,138,202
272: 427,585,660,378,191,547,42
273: 514,99,82,638,276
274: 724,161,483,788,576,640,373,92
275: 579,39,772,567,719,519,503,711
276: 380,273,99,24
277: 645,199,546,639,492,322
278: 624,312,297,405,559,678,494
279: 436,154,112,699,133,285,398,786
280: 185,33,694,170,446,408,500
281: 397,255,667,460,470,782,412
282: 124,490,443,354,30,295
283: 484,555,315,670,179
284: 64,45,620,368,410,728
285: 431,398,517,172,396,133,279
286: 655,631,721,73,368,121
287: 191,547,42,766,105,365,431
288: 551,50,504,17,522,41
289: 58,69,244,725,539,270
290: 682,610,383,680,53,344,773
291: 81,251,386,240,350,449
292: 596,606,210,747,514
293: 495,635,75,701,671,758,571,9
294: 715,727,588,440
295: 706,696,333,30,282,124
296: 541,35,625,385,114,97
297: 425,405,745,559,627,278
298: 662,742,374,740,437,672
299: 718,395,693,548
300: 228,505,235,661,41,363
301: 762,359,448,305,688,486,714,649
302: 412,174,707,746,324,466
303: 131,606
304: 263,150,617,679,656,253,153,337
305: 568,446,688,301,428,762,26
306: 469,182,493,155,324,243
307: 227,573,602,665,108
308: 526,258,360,536,677,319
309: 423,311
310: 176,435,65,739,69,196
311: 423,710,47,60,309
312: 278,624,719,405,471,543,39
313: 401,491,25,694,185
314: 28,89,399,469,182,787,474
315: 542,117,555,159,484,283
316: 453,729,781,479,525,516
317: 613,120,86,37,456,348
318: 657,389,784,770,457,512,695
319: 677,363,447,158,536,308,325
320: 715,760,488,570,616
321: 371,584,140,565,783,40,628
322: 402,553,277,546,492,778
323: 698,8,92,242,685,326,418
324: 155,466,302,707,122,306,182
325: 522,238,641,536,319,158
326: 480,685,37,323,139,418,234
327: 186,57,463,370,200,379
