0: 238,288,150,316,146,298,50
6: 156,225,34,248,272,241,171
7: 274,232,161,226,242,92,323
8: 274,92,95,144,260,139
9: 293,15,334,68,205,263,150
10: 297,27,219,253,153,36,163
11: 198,123,294,235,277,199,320
12: 140,40,321,210,82,161
13: 67,298,50,201,117,254
14: 97,35,102,94,87,151
15: 112,9,334,105,215,213,68,245
16: 173,114,72,209,135,142
17: 238,288,325,41,158
18: 90,282,83,30
19: 59,180,239,257,106,217
20: 177,169,62,130
21: 60,189,331,194,207,247
22: 39,312,138,275,200,186,91
23: 330,182,243,306,314,28,89,207
24: 276,99,232,274,144
25: 230,104,313
26: 176,170,305,280,289,58
27: 297,10,253,278,268,336
28: 258,262,314,23,168,89
29: 196,106,310,65,145
30: 132,295,18,282,83
31: 61,44,190,80,265,154,266
32: 272,42,241,196,106,59,191
33: 313,280,230,127,237,170
34: 135,142,248,156,6
35: 97,14,94,88,128,296,114
36: 213,68,221,10,219,153
37: 323,326,98,86,317,234
38: 157,217,257,109,149,167
39: 22,312,120,297,278,275
40: 12,321,119,231,210,250
41: 300,319,158,17,288,261,123,235
42: 32,272,172,171,191,287
43: 152,222,269,332,209,135,329
44: 190,31,46,174,80,116
45: 64,255,136,281,188
46: 152,332,335,44,190,116
47: 309,143,322,228,311
48: 305,301,295,110,233,65
49: 94,88,147,63,102
50: 67,298,13,261,0,288
51: 157,217,233,145,165,239
52: 76,278,336,84,227,307
53: 290,318,221,98,86,163,219
54: 230,127,252
55: 256,181,267,224
56: 136,335,249,222,332
57: 200,126,327,134
58: 69,270,310,289,176,26
59: 19,180,106,32,191,178
60: 21,194,309,311
61: 190,31,172,125,133,154
62: 224,130,20
63: 102,104,49
64: 121,218,284,45,136,188
65: 233,145,176,48,305,310,29
66: 223,299,218,246,160
67: 13,50,261,198,123,254,141
68: 36,213,9,15,334,153,263
69: 58,270,310,220,225,196,241
70: 216,240,286,136,284
71: 95,260,113,202,271
72: 85,115,77,16,173,209,269
73: 286,121,284,229
74: 258,308,262,204,164,96,129
75: 265,154,279,112,293,164,129
76: 278,275,52,336,101,91,307
77: 130,162,181,173,72,115
78: 259,79,90
79: 78,259,119,90,282,124
80: 174,44,31,118,266,122
81: 286,251,291,240
82: 292,210,12,232,161,99
83: 18,208,212,30,132
84: 227,201,146,195,52,268,336
85: 72,115,111,249,222,269
86: 317,163,120,53,37,98,219
87: 151,244,185,102,104,14
88: 94,49,264,147,128,35
89: 194,168,207,23,28
90: 18,282,78,79
91: 101,187,22,76,275,186
92: 323,326,274,7,8,139
93: 223,299,175
94: 49,88,102,14,35
95: 71,144,260,8
96: 205,164,74,308,238,325,158
97: 14,35,151,114,220,156
98: 323,37,149,242,53,318,86
99: 24,273,292,82,232
100: 258,308,168,211,319,143
101: 107,187,91,137,307,76
102: 63,104,94,49,87,14
103: 213,221,245,180,178,236,290
104: 63,102,25,87,185
105: 191,178,287,285,215,245,15
106: 196,29,145,32,19,59,239
107: 101,187,137,193,166,203
108: 117,193,315,227,137,307
109: 226,149,140,157,38,161
110: 124,333,295,48,233
111: 216,206,249,169,85,115
112: 293,15,334,215,279,75
113: 234,139,138,71,260,200,271
114: 296,16,173,97,35,156,142
115: 85,72,130,77,169,111
116: 174,46,255,335,44
117: 108,315,227,201,13,254,179
