0: 146,150,17,50,238
6: 32,42,241,225,34,171,172
7: 226,149,232,161,8,92,242
8: 144,24,232,7,92,139,95
9: 112,205,15,68,153,150
10: 163,27,219,153,36,195
11: 148,198,199
12: 210,40,140,82,161
13: 67,141,50,117,201,179,184
14: 97,94,87,102,104,151
15: 112,9,178,245,105,215,213,68
16: 135,114,142,173,72,209
17: 123,41,50,238,0,67
18: 83,132,90,30,79
19: 217,180,239,106,59
20: 130,169,177
21: 194,207,247
22: 91,138,120,163,76,39
23: 207,189,243,118,182,89
24: 144,8,99,232,82
25: 185,230,63,104
26: 237,170,185,244,58,176
27: 163,10,195,84,39,52
28: 118,204,74,168,89
29: 145,106,196,58,176,69,65
30: 79,124,18,132,48,110
31: 204,154,44,190,61,80
32: 6,42,241,106,196,191,59
33: 185,230,127,212,237
34: 142,248,156,225,6,171
35: 97,94,88,162,173,114
36: 68,221,53,10,219,153
37: 86,120,98,92,242,139,234
38: 226,149,109,157,217,167
39: 76,52,120,163,27,22
40: 12,210,250,124,231,140,165
41: 123,17,238,96,158,211,235
42: 32,6,171,172,191,105
43: 222,209,135,152,46
44: 46,190,174,116,80,31
45: 174,188,214,116,136
46: 44,190,43,56,222,152,116
47: 143,100,60,199,228
48: 170,132,176,30,110,65
49: 147,88,102,94
50: 17,0,146,201,67,13
51: 165,157,233,145,239
52: 76,137,39,27,84,227
53: 167,236,98,36,103,221,86,219
54: 127,230
55: 128,181
56: 222,249,136,46,116
57: 134,186,200,126
58: 176,151,69,244,26,29
59: 191,178,106,32,19,180
60: 194,143,47
61: 190,125,172,133,154,31
62: 224,130
63: 25,102,104
64: 121,73,218,136,188
65: 110,233,48,170,176,145,29
66: 223,160,246,218,93
67: 141,13,123,17,50,198
68: 36,213,221,112,9,15,153
69: 58,151,220,225,29,196,241
70: 216,136,81,206,240,73
71: 113,139,95,202,126
72: 77,173,115,16,85,209
73: 121,64,81,70
74: 164,96,204,129,28,168,158
75: 133,215,129,154,112,205,164
76: 137,39,52,91,22,101
77: 162,173,72,181,224,130,115
78: 90,119,131
79: 30,119,124,18,90
80: 174,122,44,204,31,118
81: 240,70,73
82: 232,161,12,210,99,24
83: 18,132,208
84: 195,146,27,52,227,201
85: 222,209,249,72,115,111
86: 37,120,98,53,163,219
87: 104,244,14,151
88: 147,49,128,94,35,162
89: 143,168,118,28,207,23,194
90: 78,18,79
91: 138,22,76,186,101,187
92: 242,139,7,8,37
93: 223,66
94: 97,35,14,49,88,102
95: 144,8,139,71
96: 74,164,158,41,238
97: 94,35,14,151,220,114
98: 167,53,149,242,86,37
99: 82,24
100: 143,168,158,211,228,47
101: 107,187,91,76,137,108
102: 104,63,49,94,14
103: 213,221,180,178,236,53
104: 87,102,63,185,25,14
105: 133,215,42,172,191,245,15
106: 145,29,196,32,19,239,59
107: 101,187,203,193,192,166
108: 159,193,179,137,117,101
109: 140,157,161,226,38
110: 65,233,48,30,124,231,165
111: 169,115,206,85,249,216
112: 205,9,15,75,215,68
113: 71,139,138,200,234
114: 16,142,97,35,173,220,156
115: 130,169,111,77,72,85
116: 174,45,56,136,46,44
117: 227,201,137,13,108,179
118: 28,182,122,80,204,23,89
119: 79,124,78,131,250
120: 86,37,163,138,22,234,39
121: 64,229,73,218
122: 174,214,80,118,182
123: 41,17,199,235,67,198
124: 30,79,119,231,110,40,250
125: 152,171,172,248,190,61
126: 202,71,200,57
