0: 636,629,238,17,453,523,50
6: 427,666,660,433,481,34
7: 226,242,98,457,621,389,690
8: 323,430,418,373,92,692,144
9: 636,571,629,205,442,293
10: 253,622,467,391,297,387,590
11: 646,198,123,424,235,345,429
12: 342,210,615,422,352,640
13: 454,644,465,338,599,349,537
14: 97,151,654,507,35,528
15: 215,334,358,637,656,68,583,150
16: 541,529,114,510,142,508
17: 522,238,0,629,50,288
18: 354,83,421,490
19: 217,257,239,343,59,538,180
20: 177,375,432,62,634
21: 207,563,247,331,502,409
22: 478,597,471,356,684,138,347,370
23: 28,593,89,469,330,314,189,207
24: 380,692,144,99,619,373,276
25: 552,491,401,313
26: 244,428,58,446,408,305
27: 340,650,337,426,268,630,336
28: 23,89,168,314,474,258
29: 241,196,585,435,482,106,378
30: 132,486,354,83,282,295
31: 265,266,357,531,521,154
32: 106,578,378,647,547,369,105
33: 230,694,675,170,280
34: 481,135,248,433,142,209,6,666,329
35: 128,566,507,687,385,14,97,296
36: 153,622,618,68,213,391
37: 480,326,317,456,234,348
38: 167,485,575,217,657,149
39: 312,567,471,91,275,689
40: 250,119,697,628,321,342,352
41: 504,288,158,522,363,300,661
42: 191,272,287,660,481,171,396
43: 419,604,209,135,152,329
44: 335,632,686,556,544,376,80,116
45: 667,284,136,410,64,533,460
46: 577,632,686,332,56,556
47: 669,663,311,489,423
48: 441,233,649,359,110,696
49: 102,147,88,673
50: 551,288,0,17,453,672
51: 239,346,438,165,462,416,157,605
52: 535,76,506,665,227
53: 467,344,391,290,355,680,163,425
54: 417,674,549
55: 487,459,415,530
56: 249,222,332,477,577,46
57: 379,327,509,653
58: 244,428,26,289,69,176,310
59: 343,538,578,647,19,180
60: 502,311,409,309
61: 357,603,376,544,190,648,125
62: 472,20,432
63: 552,102,401,104
64: 392,121,620,368,284,45,533
65: 176,310,435,145,441,384,482
66: 160,561,540
67: 569,141,599,198,123,454
68: 221,213,583,15,656,36,153
69: 270,289,439,58,310,196
70: 388,284,136,240,594,350,620
71: 260,600,95,407,362,461
72: 406,353,455,564,529,173
73: 229,246,608,286,524,121,368
74: 96,360,581,164,265,204,129,652
75: 635,652,671,436,521,129
76: 535,519,52,275,665,503,400
77: 434,224,181,162,394,173,353
78: 90,595,341,259
79: 598,259,90,443,124,545
80: 531,451,116,44,376,174
81: 251,449,291
82: 99,232,683,210,615,514
83: 18,354,208,212,132,30
84: 366,643,146,506,227,574
85: 115,351,111,406,518,377
86: 355,512,163,621,317,456,120
87: 664,468,654,382,614,550,528
88: 147,264,532,49,673,566
89: 28,23,593,168,143,194
90: 595,443,78,79,259
91: 499,579,511,275,689,39
92: 373,274,690,242,323,8
93: 299,223,175,445
94: 468,654,673,507,687
95: 407,71
96: 74,360,581,164,536,641
97: 114,14,444,151,296,35
98: 7,242,457,621,480,685,456
