0: 9,28,15,36,17,11
6: 29,34,31,32,15,9
7: 19,38,24,37
8: 10,27,37,22
9: 0,28,6,31,15
10: 8,27,36,38
11: 17,0,21
12: 19,18,30
13: 27
14: 29,34,35,26
15: 32,38,6,0,9,36
16: 20,31,35,34
17: 11,0,36
18: 30,33,12
19: 12,7,30,29,32
20: 16,31
21: 23,11
22: 8,27
23: 21,28
24: 37,7
25: 33
26: 33,14
27: 8,10,22,13
28: 0,9,31,23
29: 14,6,34,30,19,32
30: 18,29,12,19
31: 16,20,6,9,28
32: 15,6,29,19
33: 18,26,25
34: 14,6,29,35,16
35: 14,34,16
36: 10,15,38,0,17
37: 24,7,8
38: 15,7,10,36
