0: 238,442,17,453,50,523,288
6: 427,390,156,433,481,34
7: 483,242,226,389,98,457
8: 144,430,373,92,418,323
9: 238,442,334,205,293,495,150,571
10: 391,36,253,467,425,340,387,297
11: 488,320,198,424,235,123
12: 422,161,342,352,210,82
13: 465,338,201,349,537,254,454
14: 35,97,507,444,151
15: 221,213,560,517,245,68,358,215
16: 510,142,508,541,529,114
17: 238,0,522,325,288
18: 83,421,490,354
19: 239,217,257,343,538,59,180
20: 62,375,177,169
21: 409,563,331,501,247
22: 138,478,471,347,370,511
23: 207,89,314,189,330,469,28
24: 380,276,99,232,373,144
25: 401,313,552,491
26: 305,428,58,244,408,446
27: 340,387,336,337,426,268
28: 168,474,258,314,23,89
29: 241,196,435,482,106,378
30: 295,354,282,486,132,83
31: 154,521,357,531,266,265
32: 106,59,378,547,369,105
33: 127,237,170,230,313,280,446
34: 481,135,248,156,433,142,6
35: 14,97,507,128,94,566,385,296
36: 391,10,153,253,219,213
37: 234,317,348,480,456,326
38: 318,167,485,217,257,149,236
39: 275,347,567,312,471
40: 321,352,372,119,498,250,342
41: 158,522,363,300,504,288
42: 191,272,287,427,481,171,396
43: 332,152,209,269,135,329
44: 116,46,556,544,376,80
45: 460,410,284,64,533
46: 44,335,116,56,332,152,556
47: 143,311,211,393,199,423,489,309
48: 359,110,233,301,295,486,441
49: 102,147,88,94
50: 453,437,298,374,0,288,551
51: 462,346,165,438,416,157,239
52: 535,506,76,227,84,307,400
53: 467,163,290,344,219,355,391
54: 549,417,127
55: 487,415,530,459,181
56: 249,222,332,335,477,46
57: 379,509,327,200,463
58: 428,26,244,289,69,310
59: 32,106,343,19,369,180
60: 502,409,311,309
61: 357,544,376,133,190,172,125,154
62: 20,375,432,472
63: 102,104,401,552
64: 121,368,284,45,392,533
65: 176,310,441,435,384,145,482
66: 395,160,540,218,561
67: 429,349,123,198,569,141,454
68: 334,358,213,15,153,263
69: 270,289,58,310,439,196
70: 388,284,136,240,350,368
71: 95,407,461,260,362
72: 406,353,173,529,564,455
73: 121,286,524,229
74: 96,360,204,265,164,129
75: 164,293,129,495,436,521,112
76: 535,52,503,519,275,400
77: 162,224,181,394,173,353,434
78: 90,341,259
79: 259,119,90,443,124,545
80: 174,451,531,44,116,376
81: 449,251,291
82: 210,514,161,12,99,232
83: 132,212,208,18,30,354
84: 366,227,574,146,506,52
85: 406,518,115,111,377,351
86: 456,512,355,163,317,120
87: 382,562,528,550,468,507,151
88: 128,264,94,566,147,49
89: 207,23,194,28,168,143
90: 421,490,443,78,79,259
91: 499,511,275,347,503,497
92: 373,274,483,8,323
93: 299,223,175,445
94: 88,566,49,102,468,35,507
95: 71,407
96: 74,360,205,164,308,325,536
97: 35,14,444,296,541,114
98: 456,512,457,383,7,480,242
99: 82,514,273,232,24,276
100: 393,447,319,168,258,526,308
101: 307,137,400,497,527,503,107
102: 63,49,104,468,94,382
103: 452,344,236,458,245,221,219,560
104: 63,102,401,185,382
105: 365,178,32,191,287,547,369
106: 32,59,378,29,343,482
107: 192,558,166,101,137,527,450
108: 473,193,573,227,307,137
109: 149,226,389,140,371,422
110: 48,233,295,333,462,346
111: 206,115,169,216,85,351
112: 358,215,398,279,436,75,495
113: 461,534,138,356,271
114: 420,97,444,296,541,16,508
115: 169,111,130,375,518,85
116: 255,44,335,46,174,80
117: 537,179,254,381,542,555,315
118: 266,204,476,399,122,262
119: 372,79,259,545,498,40
120: 405,425,543,86,163,317
121: 64,73,229,246,392,540
122: 399,182,476,302,324,118
123: 67,429,345,235,198,11
124: 295,282,443,79,545,333
125: 172,171,396,248,329,190,544,61
126: 202,509
127: 33,237,54,230,417,411
128: 264,88,566,532,385,35
129: 164,75,436,521,265,74
130: 432,224,375,518,434,115
131: 341,250,464,513,303
132: 83,212,448,30,486
133: 357,61,172,285,279,154
134: 499,187,186,183,463,450
135: 34,248,329,209,142,43
136: 70,388,284,249,477,410,397
137: 101,307,193,108,166,107
138: 22,356,478,113,271,200,370
139: 418,326,234,260,534
140: 321,352,371,416,422,109
141: 414,148,454,67,569,440
142: 510,16,209,508,433,135,34
143: 47,311,168,194,89,393
144: 430,8,373,380,24,407
145: 384,438,233,441,65,346
146: 366,84,574,426,520,479,506,367
147: 49,264,88
148: 414,141,440
149: 109,389,485,371,318,38
150: 263,304,195,571,334,442,9,516,523
151: 14,507,444,87,528,572,539,220
152: 43,332,190,556,329,46
153: 36,253,213,68,263,304
154: 436,31,521,357,61,133,279
155: 364,493,214,466,324
156: 420,225,433,439,390,6,34
157: 485,371,416,51,165,239,217
158: 522,325,41,536,363,319
159: 197,473,193,542,484,315
160: 66,395,218,548
161: 422,12,82,226,232,274
162: 532,267,530,385,77,181,394
163: 467,53,86,355,120,425
164: 205,293,75,129,96,74
165: 462,51,565,231,321,416,157
166: 192,107,137,193,197
167: 318,38,383,257,452,290,236
168: 28,258,89,393,100,143
169: 206,115,111,557,20,375,177
170: 33,237,280,446,568,305
171: 172,125,396,481,248,42
172: 171,125,396,61,133,285
173: 541,394,529,77,72,353
174: 80,451,476,255,116,412,302
175: 93,223,403,243,445,328
176: 310,441,65,435,428,359
177: 20,475,169,557
178: 365,105,245,458,369
179: 117,254,414,283,555,184
180: 458,369,59,19,257,236
181: 224,459,55,162,530,77
182: 399,122,314,324,306,469
183: 463,450,203,134,379
184: 179,414,283
185: 280,500,401,313,104,382
186: 499,134,511,327,370,463
187: 499,134,497,527,450
188: 392,533,413,460,214
189: 330,501,328,207,23,563
190: 152,556,248,329,125,544,61
191: 272,42,287,547,396,105
192: 361,558,166,107
193: 473,108,137,166,197,159
194: 207,89,143,311,502
195: 304,150,337,268,525,516
196: 439,241,29,69,310,435
197: 159,193,166
198: 320,11,569,67,123,294
199: 228,424,211,47,489,277
200: 327,370,138,509,271,57
201: 366,227,574,13,465,381,573,537
202: 271,362,126
203: 183,450,361,558
204: 118,266,265,262,74,360
205: 164,293,96,238,9,325
206: 169,111,216,557,240,386
207: 23,194,89,189,563
208: 554,515,252,83,212
209: 510,564,142,419,269,135,43
210: 292,82,514,464,342,12
211: 505,393,447,47,228,199,489
212: 132,83,554,411,208,237,448
213: 221,219,15,560,68,36,153
214: 364,155,460,470,188,413,466
215: 112,358,517,431,398,15
216: 206,111,240,249,351,388
217: 19,239,257,485,157,38
218: 66,160,540,392,413,548
219: 221,213,103,344,53,391,36
220: 420,225,444,151,539,270
221: 219,213,15,560,245,103
222: 249,351,56,377,269,332
223: 299,93,175,548,496,403
224: 432,459,181,130,77,434
225: 156,220,420,270,439,390
226: 109,389,422,161,274,483,7
227: 84,201,574,52,307,108,573
228: 199,424,235,505,211,363,300
229: 246,524,73,121
230: 549,491,313,33,127
231: 565,545,498,333,462,165
232: 373,274,82,161,99,24
233: 359,48,110,441,462,346,145
234: 348,37,139,326,534,356,478
235: 228,424,300,345,123,11
236: 103,452,257,458,180,38,167
237: 33,127,170,411,212,448,568
238: 0,442,9,17,205,325
239: 19,217,51,438,538,157
240: 291,386,350,206,216,70,388
241: 439,196,29,427,390,378,272
242: 483,7,480,98,457,323
243: 306,330,403,493,175,328
244: 58,26,408,339,289
245: 365,178,517,458,103,221,15,560
246: 229,561,121,540
247: 331,21,409
248: 481,135,34,329,190,171,125
249: 351,222,56,216,388,136,477
250: 464,513,342,372,131,40
251: 291,386,475,81
252: 515,554,417,208
253: 36,10,153,304,337,387
254: 537,179,117,13,414,454
255: 335,116,281,397,174,412
256: 415,264,267
257: 19,217,180,38,167,236
258: 28,168,474,526,100
259: 372,79,119,78,90,341,513
260: 461,534,430,139,418,71,407
261: 345,504,551,437,429
262: 399,314,118,204,360,474,526
263: 304,150,571,334,68,153
264: 128,88,147,256,532,267
265: 266,204,31,521,129,74
266: 118,204,265,451,476,531,31
267: 162,532,530,256,415,264
268: 426,525,520,479,195,337,27
269: 455,419,377,209,222,43,332
270: 539,289,69,220,225,439
271: 202,509,113,138,200
272: 191,42,547,241,427,390,378
273: 514,99,276
274: 232,373,92,161,226,483
275: 39,347,567,76,503,519,91
276: 380,24,273,99
277: 322,489,546,199,424,488,492
278: 312,405,494,297,559,567,519
279: 285,398,133,436,154,112
280: 408,185,500,446,313,33,170
281: 460,410,470,397,255,412
282: 30,295,354,124,490,443
283: 484,555,179,184
284: 70,136,64,368,45,410
285: 431,398,279,287,172,396,133
286: 73,368,350,449,524
287: 191,42,396,365,105,285,431
288: 504,551,0,17,522,41,50
289: 539,270,69,339,58,244
290: 452,344,167,383,355,53
291: 251,240,386,350,81,449
292: 210,514,303
293: 205,164,75,495,9
294: 440,320,198,569
295: 30,282,124,486,48,110,333
296: 541,394,385,35,97,114
297: 340,387,559,467,10,405,278,425
298: 453,437,50,374,551,404
299: 93,223,395
300: 345,504,41,505,363,228,235
301: 448,568,305,486,359,48
302: 412,466,324,174,476,122
303: 131,464,292
304: 263,150,195,337,153,253
305: 428,26,170,446,301,568,359
306: 330,243,469,324,493,182
307: 101,137,400,52,227,108,573
308: 526,96,360,536,100,319
309: 47,311,60,423
310: 176,65,435,428,58,69,196
311: 143,47,194,60,502,309
