0: 453,523,636,9,629,50,17
6: 481,248,952,666,34,427,660
7: 98,690,457,621,242,685
8: 430,692,873,698,323,418
9: 636,442,758,701,293,205,629,0
10: 467,391,622,909,975,745,590,387
11: 345,429,812,847,235,123,646
12: 232,576,640,615,896,422
13: 702,349,338,465,537,644,454
14: 151,97,780,528,723,507
15: 215,334,358,732,560,68,583,263,656
16: 541,529,114,510,508,142
17: 50,288,522,629,238,0
18: 774,490,83,824,354
19: 904,938,180,59,538,239
20: 62,432,634,375,177
21: 563,207,247,331,917,502
22: 356,684,814,347,806,872
23: 593,89,189,787,839,822,207
24: 619,962,144,722,380,692
25: 947,313,401
26: 446,305,58,244,359,428,762,739
27: 650,340,898,268,630,336,426
28: 314,924,89,143,168
29: 106,810,769,482,196,435,647
30: 824,354,749,696,282,295
31: 357,699,531,963,884,154,265
32: 846,578,799,647,106,547
33: 280,170,694,230,675,902
34: 813,135,433,977,156,666,427,248,6,953
35: 97,296,780,128,385,802
36: 622,153,618,68,213,870,391
37: 234,856,478,985,480,842,98,951,883
38: 657,167,987,485,217,149,575
39: 772,719,275,312,471,689,91,893
40: 321,783,628,119,796,250
41: 300,363,661,504,923,288,522
42: 660,880,481,744,191,272,981
43: 419,152,813,209,135,953,329
44: 686,544,556,116,798,791,376,901,80
45: 64,284,667,533,410,460
46: 56,332,577,686,632,556
47: 423,489,663,669,710,311
48: 233,441,649,939,176,776,110
49: 825,801,705
50: 551,17,740,288,453,0
51: 165,416,346,438,850,605,157
52: 763,665,76,535,506,857,704
53: 355,680,290,467,929,344,391,163,936
54: 674,417,735
55: 487,830,843
56: 46,222,332,577,249,854
57: 738,509,200,327,379
58: 244,725,828,26,69,739,849
59: 343,538,578,647,180,19
60: 917,502,710,409,311
61: 357,603,699,125,648,190,960,544,531,376
62: 20,432,472
63: 754,401,664,104,552,705
64: 45,284,533,368,881,392,121
65: 435,765,176,892,310,441,820
66: 561,540,882,693,979
67: 920,569,832,123,702,349,599
68: 213,583,870,15,36,153,656
69: 739,892,849,310,921,58,270,439,289,196,435
70: 982,620,869,811,594,388,728
71: 95,911
72: 809,564,173,755,353,406,529
73: 721,286,229,524,860,121,246
74: 96,652,129,964,360,581
75: 652,671,129,436,154,204,521,635,293
76: 763,665,52,400,711,980
77: 434,353,943,741,717,861,394,700
78: 733,90,726,890,341,259
79: 90,815,443,124,877,545
80: 746,901,44,116,791
81: 291,251,449
82: 683,875,785,99,514,273,894
83: 132,713,934,18,354
84: 227,857,366,574,704,643
85: 115,518,111,406,878,753
86: 120,163,621,355,858,456
87: 654,528,723,906,468,550,382
88: 805,771,737,825,673,566
89: 593,23,787,143,28,314
90: 726,815,79,78,877,259
91: 689,893,772,39,844
92: 323,242,274,724,848,373
93: 718,223,175,969,797,900,609
94: 976,102,673,566,687,654,507
95: 71,864,911,407,888
96: 74,652,164,360,581,641,536
97: 151,296,35,14,780,967,444
98: 480,842,456,7,621,685,37
99: 683,82,273,788,894,619
100: 580,168,393,677,447,505
101: 527,497,928,108,107,137
102: 94,925,976,468,104,654
103: 219,610,236,458,586,682
104: 63,664,705,925,102,468
105: 369,793,846,578,191,547,287,245,178
106: 29,810,769,378,482,32,799,647
107: 642,558,166,527,101,137
108: 473,193,307,573,101,928,137
109: 795,658,779,140,784,149,987
110: 706,776,835,978,696,649,48
111: 115,169,85,206,878,840,216
112: 495,635,786,436,279,358
113: 534,931,356,271,927,138
114: 16,541,508,296,802,910,420,967
115: 130,375,169,518,111,85
116: 255,887,335,798,44,746,901,80
117: 254,601,537,473,315,948,542
118: 707,942,476,790,122,262,918
119: 855,598,874,250,659,40,628
120: 613,317,627,163,86,456,405
121: 881,860,368,73,286,64
122: 182,399,808,262,804,707,118
123: 429,812,11,599,920,67
124: 282,757,333,295,79,443,545
125: 603,61,708,171,952,648,960,172,845
126: 202,271,509
127: 237,675,674,554,735,411
128: 687,532,971,941,984,35,780,385
129: 74,652,75,204,521,964,790
130: 115,375,518,432,224,434
131: 513,747,464,303,807
132: 713,83,212,354,749
133: 603,699,845,285,398,866,884,279
134: 709,499,186,463,626,794
135: 813,142,34,209,977,43,953
136: 477,789,854,730,388,410,728
137: 743,101,108,193,107,166
138: 509,200,872,113,356,271
139: 607,326,951,234,534,600
140: 795,109,779,321,783,371,352,422
141: 148,803,832,955,767
142: 209,135,433,977,16,510,508
143: 593,89,28,168,393,194
144: 698,933,24,619,722,692
145: 233,441,820,838,986,346,384
146: 426,643,756,520,506,704
147: 264,805,737
148: 141,414,955,885,827,184
149: 485,819,109,779,657,38,987
150: 263,617,637,592,442,571,195,679,851
151: 97,14,528,720,940,967,444
152: 43,419,750,332,329,748,556
153: 253,36,622,68,304,656
154: 436,884,279,699,31,265,521,75
