0: 238,442,316,17,453,50,288
6: 427,156,390,34,248,42,171
7: 274,92,323,226,389,242,457
8: 418,430,373,92,323,144
9: 238,442,334,205,293,263,150
10: 387,36,253,391,425,467,297,340
11: 277,424,235,123,320,198
12: 82,161,342,352,210,422
13: 254,117,349,338,201,437
14: 94,97,35,87,468,151,444
15: 221,213,245,215,68,358
16: 419,433,142,173,296,114
17: 158,41,238,0,325,288
18: 83,421,354
19: 239,217,257,343,180,59
20: 62,177,169,375
21: 247,409,189,331,207,194
22: 138,356,370,348,312,471,347
23: 314,469,330,306,28,89,207
24: 232,373,276,99,144,380
25: 401,230,313
26: 305,408,446,58,244,428
27: 340,336,387,337,426,268
28: 168,89,258,474,262,23,314
29: 106,378,435,196,384,343
30: 354,282,83,132,295
31: 154,357,376,80,451,266,265
32: 106,378,191,272,369,59
33: 127,230,313,280,237,170
34: 135,248,433,142,156,6
35: 94,14,97,88,128,296,385
36: 10,153,253,391,219,213
37: 98,456,242,323,326,234,317
38: 318,167,371,157,217,257,149
39: 471,347,405,278,275
40: 342,321,372,119,231,250
41: 158,17,319,345,288,300
42: 191,272,287,427,6,171,396
43: 332,152,209,269,329,135
44: 190,376,152,116,46,80
45: 64,284,410,460
46: 56,335,116,332,152,44
47: 309,311,211,199,423,322
48: 295,110,132,301,359,441,233
49: 63,147,88,102,94
50: 453,437,298,404,0,261,288
51: 462,346,438,165,416,157,239
52: 307,400,76,336,227,84,108
53: 163,467,290,344,219,355,391
54: 417,127,230
55: 459,472,415,181
56: 335,46,222,249,136,332
57: 200,126,327,379
58: 289,244,270,26,428,69,310
59: 369,180,343,32,106,19
60: 309,311,194,409
61: 357,190,376,172,125,133
62: 20,432,375
63: 49,401,102,104
64: 45,284,368,121,392
65: 176,441,435,384,145,438
66: 395,246,218
67: 454,141,429,123,349,198
68: 334,358,213,15,153,263
69: 439,310,196,58,270
70: 368,350,240,136,388,284
71: 95,362,407,260,461
72: 455,406,377,353,419,173
73: 229,121,286
74: 96,360,129,204,265,164
75: 164,293,436,129,112
76: 400,275,52,278,336
77: 130,353,434,181,162,224,394
78: 341,259,90
79: 119,124,90,443,282,259
80: 174,451,116,44,376,31
81: 251,291,449
82: 161,12,292,210,99,232
83: 208,212,18,132,30,354
84: 366,227,336,426,146,52
85: 115,434,111,406,377,351
86: 163,425,467,456,355,317,120
87: 382,468,339,14,151
88: 147,264,49,128,94,35
89: 28,168,23,207,143,194
90: 421,443,78,259,79
91: 347,400,275,187,186,101
92: 274,7,323,373,8
93: 299,223,175,445
94: 14,35,49,88,102,468
95: 71,407
96: 74,308,360,205,164,325,158
97: 14,35,296,385,444,114
98: 456,242,37,457,355,383
99: 273,276,292,82,232,24
100: 393,447,308,168,258,319
101: 137,107,91,307,400,187
102: 382,104,468,63,49,94
103: 452,344,236,458,178,221,219,245
104: 382,102,401,63,313,185
105: 365,178,191,287,369,431,245
106: 32,29,378,384,343,59
107: 101,166,137,450,187,192,203
108: 381,193,473,307,52,227,137
109: 422,226,389,149,140,371,161
110: 295,48,124,333,233
111: 206,169,115,85,216,351
112: 334,358,279,398,436,293,75
113: 271,461,139,138,356
114: 444,420,97,296,16,433
115: 130,434,85,169,111,375
116: 255,335,46,44,174,80
117: 13,254,201,227,381,179,315
118: 266,204,122,262,399,314
119: 231,79,124,259,372,40
120: 312,405,297,86,425,317
121: 229,73,64,392,246
122: 118,266,174,451,302,324,399
123: 429,345,235,11,67,198
124: 119,231,79,282,295,110,333
125: 172,171,396,329,248,190,61
126: 202,271,57,200
127: 33,230,54,417,411,237
128: 267,162,264,88,35,385
129: 436,154,265,164,75,74
130: 77,115,434,432,224,375
131: 464,341,303
132: 448,301,83,212,30,295,48
133: 154,172,357,61,285,279
134: 463,450,327,187,186,183
135: 329,34,248,209,142,43
136: 249,388,70,56,335,397,284,410
137: 101,166,107,307,193,108
138: 22,356,370,113,271,200
139: 260,418,326,234,113,461,356
140: 416,371,352,321,109,422,149
141: 67,454,198,148,440
142: 419,16,433,209,135,34
143: 194,168,89,393,311
144: 380,407,373,24,8,430
145: 384,438,441,65,346,233
146: 426,268,367,374,195,366,84
147: 264,88,49
148: 414,141,440
149: 109,389,140,371,318,38
150: 263,304,316,337,442,9,195
151: 289,87,468,339,14,444,220
152: 43,332,329,46,44,190
153: 36,253,213,68,263,304
154: 436,31,129,133,357,279,265
155: 403,364,214,324,243,306
156: 225,390,6,420,433,34
157: 239,217,51,416,371,38
158: 17,319,41,96,308,325
159: 473,283,315,197
160: 403,364,218,413,395,223
161: 82,12,109,422,226,232,274
162: 267,181,128,385,394,77
163: 86,53,425,467,290,355
164: 205,293,75,129,96,74
165: 416,231,462,51,333,321
166: 137,107,193,192,197
167: 318,38,383,257,236,452,290
168: 28,89,258,474,143,393,100
169: 206,177,111,375,20,115
170: 237,448,301,33,280,305,446
171: 125,396,427,6,248,42
172: 125,396,287,61,285,133
173: 419,16,296,394,353,72
174: 80,451,255,116,412,302,122
175: 403,93,223,328,243,445
176: 359,441,65,428,435,310
177: 169,20,475
178: 365,105,369,458,103,245
179: 283,315,254,117,184,414
180: 236,369,59,458,257,19
181: 415,267,162,224,55,459,77
182: 399,314,469,324,306
183: 379,463,134,450,203
184: 414,283,179
185: 313,280,382,104,339,408
