0: 238,442,523,17,453,50,288
6: 427,390,156,481,34
7: 483,242,226,389,457
8: 418,373,92,323,144,430
9: 238,442,334,495,205,293,150
10: 391,36,253,467,297,425,340,387
11: 320,198,488,424,235,123
12: 422,161,342,352,210,82
13: 465,338,201,454,349,254,537
14: 35,97,507,151,444
15: 221,213,245,517,68,358,215
16: 508,510,529,541,114
17: 238,0,522,325,288
18: 83,421,490,354
19: 239,217,257,343,538,180,59
20: 62,375,177,169
21: 247,409,189,331,501,207
22: 138,478,471,347,511,370
23: 207,89,314,189,330,469,28
24: 232,373,276,99,380,144
25: 401,491,313
26: 305,428,446,244,58,408
27: 494,340,387,336,337,426,268,506
28: 168,474,258,314,23,89
29: 106,378,435,196,241,482
30: 295,354,282,83,132,486
31: 154,521,357,376,531,266,265
32: 106,378,191,369,59,105
33: 127,237,230,313,280,170,446
34: 481,135,248,156,433,142,6
35: 14,97,507,88,94,128,385
36: 391,10,153,253,219,213
37: 234,317,348,480,456,326
38: 318,167,485,217,257,149
39: 471,347,275,312,405,278,519
40: 342,321,372,119,498,250
41: 158,522,319,363,300,504,288
42: 191,272,287,427,481,171,396
43: 332,152,329,209,269,135
44: 190,376,152,46,116,80
45: 460,410,533,284,64
46: 56,335,116,332,152,44
47: 143,311,211,393,309,199,423,489
48: 486,110,233,301,295,359,441
49: 63,102,147,88,94
50: 453,437,298,0,504,261,288
51: 462,346,165,438,416,157,239
52: 535,400,76,336,227,84,506,307
53: 467,163,290,344,219,355,391
54: 491,230,417,127
55: 487,415,530,459
56: 335,477,46,222,249,332
57: 379,509,327,200,463
58: 428,26,244,270,289,310,69
59: 369,180,343,32,106,19
60: 502,309,409,311
61: 357,190,376,172,125,133
62: 20,375,432,472
63: 49,102,104,401
64: 121,368,284,45,533,392
65: 176,441,435,310,384,145,482
66: 395,160,246,218,540
67: 454,349,123,429,345,198,141
68: 334,358,213,15,153,263
69: 439,196,58,270,289,310
70: 368,284,350,136,240,388
71: 95,407,461,260,362
72: 353,406,173,419,529,455
73: 121,286,524,229
74: 96,360,129,204,265,164
75: 164,293,436,129,112,495
76: 535,400,52,503,519,275
77: 130,353,434,162,224,181,394
78: 90,341,259
79: 259,90,443,119,124
80: 174,451,531,116,44,376
81: 449,251,291
82: 210,161,12,99,514,232
83: 208,212,132,18,30,354
84: 366,227,506,146,52
85: 518,406,115,111,377,351
86: 456,512,355,163,317,543,120,425
87: 382,468,528,507,151,539
88: 147,264,94,128,49,532,35
89: 207,23,194,28,168,143
90: 421,490,443,78,79,259
91: 347,275,511,503,499,186,497
92: 483,323,373,274,8
93: 299,223,175,445
94: 88,49,102,468,35,507
95: 71,407
96: 74,308,360,536,205,164,158,325
97: 35,14,296,385,541,444,114
98: 456,512,457,383,242,480
99: 273,276,514,82,232,24
100: 393,447,308,168,258,526,319
101: 307,137,107,497,527,400
102: 63,49,104,94,382,468
103: 452,344,236,458,221,219,245
104: 63,102,401,185,382
105: 365,178,32,191,287,369
106: 32,29,378,343,482,59
107: 101,137,527,450,192,203,166
108: 381,473,193,227,307,137
109: 149,226,389,140,371,422,161
