0: 146,150,96,17,50
6: 32,34,196,42,225,171
7: 226,161,149,232,92,8
8: 92,139,232,7,144,95,24
9: 112,205,153,68,150
10: 163,27,219,36,153,195
11: 148,198,199
12: 210,40,140,82,161
13: 67,141,50,117,201,179,184
14: 87,102,104,97,94,151
15: 191,178,105,215,213,68,112
16: 135,114,142,173,72,209
17: 123,41,50,96,0,67
18: 83,132,90,30,79
19: 217,180,51,145,106,157,59
20: 130,169,177
21: 194,207
22: 91,138,120,163,76,39
23: 118,182,207,189,89
24: 144,232,82,8
25: 104,63,230,33,185
26: 58,176,185,87,237,170
27: 163,10,195,84,39,52
28: 118,204,74,168,89
29: 145,106,58,176,69,65,196
30: 79,124,18,132,48,110,231
31: 44,190,61,204,154,80
32: 6,196,42,106,191,59
33: 212,230,185,127,25
34: 6,156,225,142,171
35: 97,88,94,162,173,114
36: 153,68,221,53,10,219
37: 86,120,234,149,98,92,139
38: 226,149,109,157,217,167
39: 76,52,120,163,27,22
40: 12,210,119,124,231,140,165
41: 123,17,96,158,211,235
42: 32,6,172,191,105
43: 222,209,135,152,46
44: 46,31,116,190,174,80
45: 174,188,136,116
46: 44,116,190,43,56,222,152
47: 199,228,143,100,60
48: 237,170,132,176,30,110,65
49: 147,102,88,94
50: 17,0,146,201,67,13
51: 19,233,145,157
52: 76,137,39,27,84,227
53: 167,236,98,36,221,103,86,219
54: 127,230
55: 128,181
56: 85,222,111,216,136,46,116
57: 134,186,200,126
58: 26,151,176,87,69,29
59: 191,178,106,32,19,180
60: 194,143,47
61: 31,190,125,172,133,154
62: 224,130
63: 102,104,25
64: 121,73,136,188,218
65: 110,233,48,176,145,29
66: 160,218,229
67: 141,13,123,17,50,198
68: 36,153,213,221,15,112,9
69: 225,220,58,151,29,196
70: 216,136,81,206,73
71: 113,95,139,202,126
72: 77,173,115,16,85,209
73: 121,64,81,136,70
74: 164,158,204,129,28,168
75: 133,215,129,154,112,205,164
76: 137,39,52,91,22,101
77: 162,173,72,181,224,130,115
78: 90,119,131
79: 30,119,124,18,90
80: 118,44,31,174,122,204
81: 177,206,70,73
82: 232,12,210,99,161,24
83: 18,132,208
84: 195,146,150,27,52,227,201
85: 56,222,209,72,115,111
86: 37,120,98,53,163,219
87: 104,14,185,58,26,151
88: 35,94,147,49,128,162
89: 143,168,118,28,23,194
90: 78,18,79
91: 138,22,76,186,187
