0: 288,238,150,146,298,50
6: 156,225,34,272,241,171
7: 92,242,161,226,274
8: 144,24,274,92,139,95,260
9: 112,293,15,68,205,263,150
10: 297,27,219,253,153,36,163
11: 198,294,199,277
12: 140,40,210,161,82
13: 67,298,117,201,254,141
14: 97,35,102,94,87,151
15: 112,9,105,215,213,68,245
16: 173,114,72,209,135,142
17: 261,288,238,41,96
18: 90,83,30,282
19: 59,180,239,257,106,217
20: 177,62,130,169
21: 247,207,189,194
22: 138,120,39,234,275,91,186
23: 207,182,243,118,28,89
24: 144,8,274,232,276,99
25: 230,63,185,104
26: 58,270,280,289,176,170
27: 297,10,253,268,278
28: 118,23,168,262,89
29: 145,106,196,176,58,69,65
30: 83,132,18,301,282,124,295
31: 265,154,61,44,190,80,266
32: 272,42,241,106,196,59,191
33: 185,237,280,230,127
34: 135,142,248,156,6,171
35: 97,14,88,94,114,296
36: 213,68,221,10,219,153
37: 92,242,139,86,98,234,120
38: 109,149,157,217,257,167
39: 22,120,297,278,275
40: 140,12,119,231,210,250,165
41: 261,17,288,96,158,211,300,123
42: 32,272,172,171,191,287
43: 46,222,269,152,209,135
44: 190,46,174,80,116,31
45: 255,136,64,281,188
46: 43,222,152,56,44,190,116
47: 60,143,228,199
48: 176,170,301,295,110,65
49: 147,88,94,63,102
50: 67,298,261,0,288
51: 157,165,217,233,145,239
52: 76,278,268,227,84,137
53: 167,290,221,86,98,219
54: 230,127,252
55: 181,267,256,224
56: 255,136,46,249,222,116
57: 134,186,200,126
58: 69,270,26,176,29
59: 19,180,106,32,191,178
60: 47,194,143
61: 190,172,125,133,31,154
62: 224,130,20
63: 102,25,49,104
64: 121,218,284,136,45,188
65: 110,233,176,48,145,29
66: 223,299,218,246,160
67: 298,13,50,261,198,123,141
68: 36,213,9,15,153,263
69: 58,270,220,225,29,196,241
70: 216,240,286,136,284
71: 95,113,260,202,271
72: 85,115,77,16,173,209,269
73: 286,121,284,229
74: 164,96,129,204,258,158,262
75: 164,129,279,265,154,112,293
76: 278,275,52,91,101,137
77: 115,72,181,224,130,162,173
78: 259,79,90
79: 78,259,90,119,282,124
80: 174,122,44,31,118,266
81: 286,251,240
82: 232,161,210,12,292
83: 30,132,208,212,18
84: 227,201,268,195,146,52
85: 115,111,72,249,222,269
86: 98,163,53,37,219,120
87: 151,104,244,102,14
88: 147,49,264,94,128,35
89: 194,143,28,207,23,168
90: 18,78,79,282
91: 76,275,22,186,101,187
92: 242,139,7,37,8,274
93: 223,299,175
94: 49,88,102,14,35
95: 71,144,8,260
96: 74,164,205,158,17,238,41
97: 14,35,151,114,220,156
98: 86,149,167,53,242,37
99: 276,292,232,24
100: 258,168,158,143,211,228
101: 107,187,137,76,91
102: 63,49,94,87,104,14
103: 213,221,245,180,178,236,290
104: 87,244,25,63,102,185
105: 191,178,285,215,287,245,15
106: 145,29,196,32,19,59,239
107: 101,203,193,166
108: 159,193,179,117,227,137
109: 226,38,140,157,161
110: 65,233,48,231,124,295,165
111: 85,169,115,216,206,249
112: 293,9,15,215,279,75
113: 234,260,71,138,200,271
114: 16,173,296,97,35,156,142
115: 85,169,111,72,77,130
116: 174,46,255,56,44
117: 227,201,13,108,179,254
118: 28,204,266,122,80,182,23,262
119: 231,124,259,79,250,40
120: 22,39,37,86,163,297,234
121: 64,218,284,73,229,246
122: 174,80,302,214,118,182
123: 198,261,41,300,235,67
124: 119,282,231,295,30,79,110
125: 172,171,248,152,61,190
126: 200,271,57
127: 252,212,54,230,33,237
128: 267,88,264,162,296
129: 74,164,75,265,204
130: 62,224,20,169,115,77
131: 210,250,259
132: 83,30,212,237,301
133: 285,279,172,61,154
134: 57,186,187,203,183
135: 209,34,142,248,16,43,152
136: 255,56,45,216,70,249,64
137: 101,76,52,227,108
138: 22,234,113,200,186
139: 92,37,8,234,260
140: 40,12,157,165,161,109
141: 184,254,67,13,198,294,148
142: 135,34,248,16,114,156
143: 194,89,168,100,47,60
144: 24,8,276,95
145: 106,29,65,233,51,239
146: 195,150,0,201,84,298
147: 49,88,264
148: 294,141
149: 226,38,167,242,98
150: 263,195,146,9,205,0,238
151: 87,244,289,97,14,270,220
152: 43,46,135,248,125,190
153: 10,253,36,68,263,195
154: 31,265,61,133,279,75
155: 214,160,223,182,243,175
156: 220,225,6,97,114,34,142
157: 51,165,217,140,109,38
158: 258,100,74,96,41,211
159: 193,108,179,283,197
160: 188,214,155,218,66,223
161: 232,82,140,12,226,109,7
162: 173,296,128,181,267,77
163: 86,297,10,219,120
164: 74,96,129,75,205,293
165: 157,51,231,110,233,140,40
166: 192,107,193,197
167: 236,290,53,257,149,38,98
168: 258,100,262,28,143,89
169: 115,111,130,20,177,206
170: 176,48,301,237,280,26
171: 172,125,6,34,248,272,42
172: 171,125,42,61,285,133,287
173: 162,16,114,296,72,77
174: 281,122,80,116,302,255,44
175: 155,93,223,189,243
176: 48,170,58,26,65,29
177: 20,169,291,206
178: 191,105,59,180,103,245
179: 159,108,117,254,283
180: 19,59,257,191,178,236,103
181: 55,267,224,162,77
182: 243,23,122,214,155,118
183: 134,203,192
184: 254,283,141
185: 33,280,25,104,244
186: 57,134,22,138,91,200,187
187: 101,203,91,134,186
188: 214,160,45,64,218,281
189: 207,243,175,21
190: 61,44,46,152,125,31
191: 105,178,32,42,59,180,287
192: 166,203,183
193: 159,108,107,166,197
194: 143,89,207,21,60
195: 263,150,146,253,153,268,84
196: 106,29,69,32,241
197: 159,193,166
198: 11,123,294,67,141
199: 11,235,228,47,277
200: 126,271,113,138,57,186
201: 117,227,84,146,298,13
202: 71,271
203: 107,187,134,183,192
204: 118,266,265,74,129,262
205: 164,96,293,9,150,238
206: 291,216,240,177,169,111
207: 189,243,23,194,89,21
208: 252,212,83
209: 135,16,72,43,269
210: 131,250,40,12,82
211: 300,235,228,158,100,41
212: 127,252,208,237,83,132
213: 36,103,68,221,245,15
214: 188,155,160,281,122,302,182
215: 285,279,105,245,112,15
216: 206,240,70,111,249,136
217: 157,51,19,239,257,38
218: 121,64,246,188,160,66
219: 10,53,36,221,86,163
220: 156,225,151,97,69,270
221: 36,103,213,290,53,219
222: 43,46,249,269,85,56
223: 93,66,299,155,160,175
224: 62,130,55,181,77
225: 220,156,6,69,241
226: 109,149,161,242,7
227: 117,201,84,52,137,108
228: 211,235,100,47,199
229: 246,73,121
230: 25,54,127,33
231: 119,124,110,40,165
232: 161,82,292,99,24,274
233: 110,65,145,51,165
234: 113,139,37,22,138,120
235: 211,300,228,123,199
236: 167,290,180,257,103
237: 33,280,127,212,132,170,301
238: 0,17,288,96,205,150
239: 19,145,106,51,217
240: 291,216,206,70,81,286
241: 32,272,69,225,6,196
242: 92,7,37,226,149,98
243: 207,182,189,23,155,175
244: 87,151,104,289,185
245: 103,213,105,178,215,15
246: 229,121,218,66
247: 21
248: 135,34,142,152,171,125
249: 222,269,85,111,216,136,56
250: 131,210,259,119,40
251: 81,291
252: 127,212,54,208
253: 27,10,153,268,263,195
254: 184,141,117,13,179
255: 136,56,45,174,116
256: 264,55,267
257: 19,180,217,38,167,236
258: 168,158,100,262,74
259: 78,79,119,131,250
260: 113,8,139,95,71
261: 17,288,41,67,50,123
262: 258,168,118,28,204,74
263: 195,150,68,9,253,153
264: 147,88,256,128,267
265: 31,154,204,266,129,75
266: 118,204,80,31,265
267: 55,128,181,256,264,162
268: 27,253,195,278,52,84
269: 43,249,222,85,72,209
270: 58,69,26,151,289,220
271: 200,126,71,113,202
272: 32,42,241,6,171
273: 292
274: 24,8,232,92,7
275: 76,278,91,22,39
276: 99,144,24
277: 11,199
278: 76,275,52,297,27,268,39
279: 285,133,215,154,112,75
280: 185,33,237,170,26
281: 174,302,45,188,214
282: 124,90,18,30,79
283: 184,159,179
284: 121,64,70,73,286
285: 133,215,279,287,172,105
286: 81,73,240,70,284
287: 285,42,172,191,105
288: 261,0,17,238,41,50
289: 151,244,270,26
290: 167,236,53,103,221
291: 206,240,177,251
292: 273,232,82,99
293: 112,9,164,75,205
294: 11,198,141,148
295: 124,30,48,301,110
296: 162,173,114,128,35
297: 27,10,163,120,39,278
298: 67,13,50,146,0,201
299: 93,66,223
300: 211,235,41,123
301: 48,170,237,30,132,295
302: 174,281,122,214
