0: 238,288,150,316,298,50
6: 156,225,241,34,248,272,171
7: 274,92,161,226,242,323
8: 95,144,260,274,92,139
9: 293,334,205,263,150
10: 340,297,253,153,36,219,163
11: 198,123,235,277,199,320,294
12: 352,161,210,342,82
13: 338,349,201,117,254
14: 97,102,94,35,87,151
15: 213,245,105,215,358
16: 296,173,114,72,209,142
17: 238,288,325,41,158,345
18: 90,354,83,30
19: 59,180,257,106,343,217,239
20: 177,169,62,130
21: 60,189,331,194,207,247
22: 186,347,348,312,200,138
23: 330,182,306,314,89,207,28
24: 276,99,274,232,144
25: 230,313,104
26: 170,280,289,244,176,305,58
27: 278,336,337,340,253,268
28: 168,89,314,262,23,258
29: 196,106,343,310,145,65
30: 132,295,282,83,18,354
31: 265,154,357,44,190,80,266
32: 272,42,241,196,106,59,191
33: 170,280,230,313,127,237
34: 135,142,248,6,156
35: 94,88,128,97,14,114,296
36: 213,221,219,68,10,153
37: 98,323,326,86,234,317
38: 157,217,257,109,149,167
39: 312,120,297,278,275,347
40: 210,250,119,231,342,321
41: 300,319,158,345,17
42: 32,272,172,171,191,287
43: 152,332,269,209,135,329
44: 190,46,174,80,116,31
45: 64,255,136,188,281
46: 152,332,56,335,44,190,116
47: 311,143,228,309,322
48: 301,295,359,110,233,65
49: 94,88,147,63,102
50: 338,349,261,0,288,298
51: 157,217,239,346,145,165
52: 76,336,84,268,307,227
53: 86,163,355,290,219
54: 252,230,127
55: 256,181,267,224
56: 136,335,222,249,46,332
57: 200,126,327,134
58: 69,270,310,26,289,176
59: 19,180,106,32,191,178
60: 21,194,311,309
61: 172,125,357,190,133
62: 224,130,20
63: 102,104,49
64: 121,218,284,45,188
65: 233,145,48,176,359,305,310,29
66: 223,299,218,246,160
67: 198,123,349,261,141
68: 358,334,36,213,153,263
69: 58,270,310,220,225,241,196
70: 286,350,216,240,136,284
71: 202,95,260,113,271
72: 85,269,353,16,173,209
73: 286,121,284,229
74: 258,308,204,262,164,96,129
75: 265,154,279,112,293,164,129
76: 278,275,52,336,101,91,307
77: 224,130,162,181,173,115,353
78: 90,259
79: 119,259,90,354,282,124
80: 174,44,31,118,266,122
81: 350,291,251
82: 292,210,161,12,99,232
83: 208,212,18,30,132
84: 268,201,146,195,52,336,227
85: 72,115,269,353,351,222
86: 53,163,120,355,98,37,317
87: 151,185,339,102,104,14
88: 94,49,264,35,147,128
89: 194,168,207,28,23
90: 18,354,78,259,79
91: 101,187,76,275,186,347
92: 274,7,323,326,8,139
93: 223,299,175
94: 49,88,35,102,14
95: 8,144,260,71
96: 205,164,129,74,308,238,325,158
97: 14,114,220,35,151
98: 323,37,149,242,318,86,355
99: 24,273,82,292,232
100: 258,308,168,211,319,143
101: 107,187,91,137,307,76
102: 63,104,94,49,87,14
103: 245,221,180,178,236,290,344
104: 63,102,25,313,87,185
105: 191,178,287,285,215,245,15
106: 196,29,343,32,19,59
107: 101,187,137,166,203
108: 117,227,315,137,307,193
109: 226,149,140,157,38,352,161
110: 124,333,295,48,233,346
111: 206,169,115,351
112: 293,358,334,215,279,75
113: 139,356,260,71,271,138
114: 97,220,35,296,16,156,142
115: 85,353,351,77,130,169,111
116: 174,46,255,335,44
117: 227,108,315,201,13,254,179
118: 266,204,314,122,262,80
119: 259,79,341,124,231,40,250
120: 86,163,297,312,39,317
121: 64,218,284,73,229,246
122: 118,266,314,174,80,324,302,182
123: 11,198,235,67,345,261
124: 110,231,333,295,282,119,79
125: 172,171,61,248,329,152,190
126: 200,271,57
127: 237,212,54,252,230,33
128: 162,267,88,264,35,296
129: 164,96,75,265,204,74
130: 77,224,62,20,169,115
131: 303,341,250
132: 301,30,295,83,237,212
133: 285,279,172,61,357,154
134: 183,327,186,187,57,203
135: 209,34,142,248,329,43
136: 255,56,335,249,216,70,45
137: 107,101,307,108,193
138: 200,271,113,348,356,22
139: 234,113,356,92,326,8,260
140: 165,321,157,352,109
141: 148,349,198,67,184,254
142: 209,135,34,114,16,156
143: 47,311,100,168,211
144: 95,8,276,24,274
145: 233,346,65,29,343,51,239
146: 84,201,298,195,316,338
147: 49,88,264
148: 294,141,198,184
149: 226,109,242,38,167,318,98
150: 263,195,316,304,9,205,238,0
151: 87,289,339,97,14,220,270
152: 43,46,332,329,125,190
153: 10,253,36,68,263,304
154: 75,265,31,357,133,279
155: 214,160,324,223,175,306,243
156: 6,225,114,220,34,142
157: 51,217,38,140,165,321,109
158: 319,41,96,308,17,325
159: 197,193,315,179,283
160: 188,214,155,218,66,223
161: 352,12,82,226,109,7,232
162: 128,181,267,77,296,173
163: 86,53,120,219,10,297
164: 205,96,129,75,293,74
165: 140,321,231,333,346,157,51
166: 192,107,197,193
167: 236,290,318,38,257,149
168: 89,28,258,100,143
169: 20,177,130,115,206,111
170: 33,280,26,237,301,305
171: 172,125,6,248,272,42
172: 171,125,61,42,287,285,133
173: 296,16,162,77,72,353
174: 80,116,255,44,302,281,122
175: 93,223,155,328,243
176: 359,305,26,58,310,65
177: 20,169,291,206
178: 191,105,59,180,103,245
179: 184,254,117,315,159,283
180: 19,59,257,178,236,103
181: 162,267,55,77,224
182: 23,306,324,314,122
183: 134,192,203
184: 254,179,148,141,283
185: 87,244,339,313,104,280
186: 327,347,22,187,91,134
187: 107,101,91,186,134,203
188: 214,160,302,281,64,218,45
189: 328,331,330,207,21
190: 357,44,329,46,152,125,61,31
191: 105,178,287,32,272,42,59
192: 166,203,183
193: 197,159,137,108,315,166
194: 89,207,60,21,311
195: 150,316,304,337,84,268,146
196: 106,29,343,69,310,241,32
197: 159,193,166
198: 11,123,67,148,294,141
199: 277,322,228,11,235
200: 126,271,138,327,22,57
201: 84,146,298,338,13,117,227
202: 71,271
203: 192,107,187,183,134
204: 118,266,262,265,129,74
205: 164,96,293,9,150,238,325
206: 216,240,111,177,169,291
207: 194,89,330,23,189,21
208: 83,252,212
209: 135,142,16,72,269,43
210: 40,250,303,342,82,292,12
211: 300,319,100,143,228
212: 127,237,252,208,83,132
213: 36,245,221,15,358,68
214: 188,155,160,324,302
215: 285,279,105,15,112,358
216: 249,206,240,351,70,136
217: 157,51,38,239,19,257
218: 121,64,246,188,160,66
219: 36,221,290,344,53,163,10
