0: 146,150,17,50,238
6: 32,42,241,225,34,171
7: 226,232,161,8,92,242
8: 144,24,232,7,92,95
9: 112,205,15,68,153,263,150
10: 163,27,219,253,36,153,195
11: 148,198,199
12: 40,210,140,82,161
13: 67,254,50,117,201
14: 97,94,87,102,151
15: 112,9,245,105,215,213,68
16: 135,142,173,72,114,209
17: 261,41,50,238,0
18: 83,30,90,79
19: 217,180,239,257,106,59
20: 62,130,169,177
21: 194,207,247
22: 234,138,120,163,76,39,91,186
23: 207,189,243,182,118,89
24: 144,8,99,232
25: 230,63,185,104
26: 176,170,185,237,244,58
27: 163,10,253,39,52
28: 118,262,168,89
29: 145,106,196,176,58,69,65
30: 18,132,48,79,124,110
31: 204,154,44,190,61,80
32: 6,42,241,106,196,191,59
33: 185,237,230,127,212
34: 142,156,225,6,171,248
35: 97,94,88,162,173,114
36: 68,221,153,53,10,219
37: 86,120,98,92,242,139,234
38: 226,149,109,157,217,257,167
39: 76,52,120,163,27,22
40: 12,231,210,250,140
41: 261,17,238,96,158,211,235,123
42: 32,6,171,172,191,105
43: 222,209,135,152,46
44: 46,190,116,174,31,80
45: 174,136,255,188,214
46: 44,190,116,43,56,222,152
47: 100,60,143,228
48: 176,170,132,30,110,65
49: 147,88,102,94
50: 261,17,0,146,201,67,13
51: 165,157,233,145,217,239
52: 76,137,39,27,253,227,84
53: 167,236,98,36,103,221,86,219
54: 230,127
55: 181,256
56: 249,222,136,255,46,116
57: 134,186,200
58: 69,151,244,176,26,29
59: 191,178,106,32,19,180
60: 194,143,47
61: 190,125,172,133,154,31
62: 224,130,20
63: 25,102,104
64: 121,73,218,136,188
65: 110,233,176,48,145,29
66: 223,160,246,218,93
67: 141,13,261,50,123,198
68: 36,213,221,153,9,15
69: 58,151,220,225,29,196,241
70: 216,136,240,81,73
71: 113,260,95,202,200,126
72: 77,173,85,115,16,209
73: 121,64,81,70
74: 164,96,129,262,258,158
75: 133,215,129,154,112,205,164
76: 137,39,52,91,22,101
