0: 24,27
6: 21,26,36,23,8,7
7: 9,6,35,36,8
8: 23,18,6,7,9
9: 13,7,18,8,17
10: 27
11: 17,19,25
12: 32,34,15,18,24
13: 9
14: 31,33,15,23
15: 14,33,23,24,12
16: 36,26
17: 11,18,9,25
18: 8,9,12,32,25,17
19: 11,25,28,37,22
20: 37,22
21: 6,26,30
22: 19,20,37
23: 8,6,14,31,15
24: 0,33,15,12,27,34
25: 32,28,18,11,17,19
26: 21,6,29,16,36
27: 28,34,0,24,10
28: 27,32,25,34,19,37
29: 26
30: 21
31: 14,23
32: 12,25,28,34,18
33: 14,15,24
34: 12,27,32,28,24
35: 36,7
36: 16,35,6,26,7
37: 20,28,19,22
