0: 35,141,115
6: 57,148,8,83,52,31,53
7: 30,109,146,20,43
8: 6,148,80,53,135,67
9: 151,67,149,124,103,17,144
10: 128,28,48,108
11: 136,66,145
12: 73,42,47,27,144
13: 122,120,88,149,17,125,54
14: 38,114,104,39
15: 147,21,25,142,131,22
16: 29,109
17: 19,103,9,149,13,54
18: 97,86,134,108,44,28
19: 103,139,117,17,89,54
20: 43,80,53,109,102,7
21: 147,87,15,118,24,25,56
22: 131,27,147,15,118,32,47
23: 112,134,36,82,152,34
24: 61,111,25,113,56,21
25: 113,31,142,24,21,15
26: 72,105,32,133,98,137
27: 131,135,124,22,47,12
28: 128,10,152,18,134,108
29: 16,109,102,84
30: 81,7,140,60,43
31: 25,39,113,142,52,57,6
32: 72,26,118,22,47,133
33: 100,95,126,110,59,55
34: 37,23,82,152
35: 85,0,121,115,91
36: 99,82,139,89,112,23
37: 34,145,82
38: 14,46,52,39
39: 113,31,38,14,52,104
40: 97,86,77,73,42,76
41: 66,79,74,125,136
42: 73,47,133,12,40,77
43: 20,80,30,7,60,65
44: 123,108,68,93,97,18
45: 94,119,75,156,105,101
46: 51,84,83,52,38
47: 42,133,12,27,22,32
48: 123,108,138,10
49: 70,71
50: 91,143,68,123
51: 46,84
52: 46,83,38,39,31,6
53: 20,80,83,102,6,8
54: 74,125,89,13,19,17
55: 71,59,33,110,119,75
56: 96,69,157,111,24,21,87
57: 6,148,31,142
58: 116,61,111,62,63,132
59: 71,55,33
60: 30,140,43,65,153,122,120,154
61: 58,116,104,111,24,113
62: 63,58,116
63: 62,58,95,132
64: 107,92,127
65: 151,67,155,153,43,80,60
66: 41,136,11
67: 151,65,9,8,80,135,124
68: 129,93,90,50,44
69: 110,56,157,111,126,132
70: 49,141,71,75,156,106
71: 59,55,75,49,70
72: 105,32,26,87,118,94
73: 42,12,117,144,40,76
74: 125,89,54,136,41,99
75: 45,119,156,71,55,70
76: 112,73,139,117,40,86
77: 97,40,42,133,93,137
78: 127,81
79: 41,88,107,125
80: 20,43,53,8,65,67
81: 30,140,127,78,154,92
82: 36,145,99,23,34,37
83: 46,84,52,102,6,53
84: 46,51,83,29,102
85: 35,91,150
86: 97,18,40,112,134,76
87: 21,118,96,56,94,72
88: 122,13,154,107,92,125,79
89: 74,54,19,139,36,99
90: 129,130,68,121,91
91: 50,143,150,121,90,85,35
92: 64,107,81,127,88,154
93: 129,68,137,97,77,44
94: 45,119,96,87,72,105
95: 33,100,126,132,63
96: 56,157,87,94,119
97: 18,40,86,77,93,44
98: 129,130,137,105,26,101
99: 36,145,82,74,89,136
100: 33,95
101: 115,106,45,156,105,130,98
102: 29,109,84,83,20,53
103: 19,117,17,144,9
104: 116,61,114,14,39,113
105: 72,26,45,94,101,98
106: 101,115,156,70,141
107: 64,92,88,79
108: 48,123,44,18,28,10
109: 29,16,102,146,20,7
110: 69,157,33,126,55,119
111: 58,61,24,132,69,56
112: 134,23,76,139,86,36
113: 25,39,31,61,104,24
114: 14,116,104
115: 101,121,106,141,35,0
116: 58,61,104,114,62
117: 19,103,139,73,76
118: 147,21,87,22,72,32
119: 45,94,75,96,110,157,55
120: 122,13,60,149,155,153
121: 115,130,90,35,91
122: 120,88,13,154,60
123: 48,108,138,44,50
124: 135,27,9,67,144
125: 74,54,88,13,79,41
126: 33,95,132,69,110
127: 78,81,64,92
128: 28,10,152
129: 130,68,93,90,98,137
130: 129,90,98,101,121
131: 135,27,22,142,148,15
132: 95,126,63,58,111,69
133: 42,47,32,26,137,77
134: 112,23,18,86,28,152
135: 131,124,27,148,8,67
136: 74,66,41,99,11
137: 129,93,98,26,133,77
138: 48,123
139: 19,117,89,112,76,36
140: 30,81,60,154
141: 70,115,106,0
142: 25,31,57,148,15,131
143: 50,91,150
144: 103,124,9,73,12
145: 99,82,11,37
146: 109,7
147: 21,15,118,22
148: 57,6,8,142,131,135
149: 151,9,155,120,13,17
150: 91,143,85
151: 65,9,67,149,155
152: 128,28,134,23,34
153: 65,155,60,120
154: 122,88,81,140,60,92
155: 151,65,149,153,120
156: 45,75,70,101,106
157: 96,69,110,56,119
