0: 141,115,35
6: 57,148,8,52,83,53
7: 30,60,164,146,20,43
8: 6,148,80,53,135,67
9: 151,149,155,124,144,103
10: 128,28,48,108
11: 136,66,145
12: 73,42,47,169,168
13: 122,120,88,163,125,54
14: 38,39,114,104
15: 147,165,25,142,131,22
16: 29,109,146
17: 19,103,149,163,54
18: 97,86,134,108,44,28
19: 103,17,117,89,54,139
20: 43,80,53,109,102,164,7
21: 147,87,118,165,166
22: 131,27,147,15,118,32,47
23: 112,134,36,82,152,34
24: 25,113,61,111,166,165
25: 24,113,31,142,15,165
26: 72,105,32,133,137,98
27: 131,135,168,22,124,47
28: 128,10,152,18,134,108
29: 16,109,102,160
30: 60,7,140,78,81
31: 25,113,39,52,57,142
32: 72,26,133,118,22,47
33: 100,126,110,59,55
34: 37,23,82,152
35: 85,170,121,115,0
36: 99,82,89,112,23,139
37: 34,145,82
38: 14,39,46,52
39: 38,14,52,104,113,31
40: 97,86,77,171,73,42,76
41: 66,79,74,125,136
42: 73,47,12,133,40,77
43: 20,80,65,60,7
44: 123,108,93,97,18,171,68
45: 94,119,75,105,101,156
46: 52,84,83,51,38
47: 42,12,168,27,22,32
48: 123,108,10,138
49: 70,141,71
50: 91,143,161,68,123
51: 46,84
52: 46,83,38,39,31,57,6
53: 20,80,83,102,6,8
54: 74,125,89,13,163,19,17
55: 71,59,33,110,119,75
56: 158,69,166,157,111
57: 6,148,142,52,31
58: 116,61,111,62,63,132
59: 71,55,33
60: 30,7,140,43,65,153,122,120
61: 58,116,104,111,24,113
62: 63,58,116
63: 62,132,58,95
64: 107,92,127
65: 43,80,60,151,67,155,153,167
66: 41,11,136
67: 151,124,8,80,65,135
68: 50,129,93,90,123,44
69: 56,157,132,111,126,110
70: 49,141,71,75,159,156
71: 59,55,75,49,70
72: 105,32,26,87,118,94
73: 42,169,12,117,40,76
74: 125,89,54,41,99,136
75: 45,119,71,55,70,156
76: 112,139,73,117,40,86
77: 40,171,133,42,137,93
78: 127,81,30
79: 41,88,107,125
80: 20,43,53,65,8,67
81: 127,78,30,140,154,92
82: 36,145,99,23,34,37
83: 46,52,84,102,6,53
84: 46,83,51,102,160
85: 35,170,150,91
86: 97,18,40,112,134,76
87: 21,118,158,94,96,72
88: 122,13,154,107,92,125,79
89: 74,54,19,139,36,99
90: 129,130,121,91,68
91: 50,143,121,90,85,150
92: 64,107,127,81,88,154
93: 129,137,77,171,68,44
94: 45,119,96,87,72,105
95: 100,126,63,132
96: 94,119,158,157,87
97: 18,40,86,171,44
98: 129,130,137,105,26,101
99: 36,145,82,74,89,136
100: 33,95,126
101: 106,156,45,105,130,98
102: 29,109,84,83,20,53
103: 19,17,117,9,144,169
104: 116,61,114,14,39,113
105: 72,26,45,94,101,98
106: 101,115,159,156
107: 64,92,88,79
108: 48,123,44,18,28,10
109: 29,16,102,164,146,20
110: 33,126,69,157,55,119
111: 58,61,132,24,69,166,56
112: 134,23,76,139,86,36
113: 25,24,31,39,61,104
114: 14,116,104
115: 121,106,159,141,0,35
116: 58,61,104,114,62
117: 19,103,73,76,139
118: 147,21,87,22,72,32
119: 45,94,75,96,110,157,55
120: 122,13,163,60,162,149,153
121: 115,130,90,35,91
122: 120,88,13,154,60,140
123: 48,108,44,50,161,68
124: 151,9,67,144,135,168,27
125: 74,54,88,13,79,41
126: 33,100,95,110,132,69
127: 78,81,64,92
128: 28,10,152
129: 130,137,93,90,98,68
130: 129,90,98,101,121
131: 135,27,22,148,142,15
132: 63,58,111,95,126,69
133: 32,26,42,137,77
134: 112,23,18,86,28,152
135: 131,27,148,8,67,124
136: 11,74,66,41,99
137: 129,93,98,26,133,77
138: 161,48
139: 112,76,19,117,89,36
140: 30,60,81,122,154
141: 49,70,115,159,0
142: 57,148,25,31,15,131
143: 50,91,150
144: 9,124,168,169,103
145: 99,82,11,37
146: 16,109,164,7
147: 21,15,118,165,22
148: 57,6,8,142,131,135
149: 162,9,155,120,163,17
150: 85,91,143
151: 9,67,155,167,124,65
152: 128,28,134,23,34
153: 162,167,65,60,120
154: 122,88,140,81,92
155: 151,162,9,149,167,65
156: 101,106,159,45,75,70
157: 158,69,56,110,119,96
158: 56,157,87,96
159: 115,106,156,70,141
160: 29,84
161: 50,123,138
162: 149,155,153,167,120
163: 120,13,149,17,54
164: 109,146,20,7
165: 147,21,15,25,24,166
166: 56,111,24,21,165
167: 151,162,155,153,65
168: 27,124,144,47,169,12
169: 73,12,168,144,103
170: 85,35
171: 97,40,77,93,44
