0: 191,115,255,141
6: 83,52,53,192,57,8
7: 146,164,242,30,182,232
8: 228,67,6,53,80,192
9: 155,230,257,144,103,208,17
10: 212,241,128,179,48
11: 145,260
12: 168,236,254,197,144,208,169
13: 88,204,122,120,248,163,125
14: 223,114,252,39
15: 147,249,185,261,175,22
16: 29,109,146
17: 250,9,149,248,257,103
18: 28,179,134,86,108,97
19: 250,54,103,117,139,213,89
20: 186,109,53,80,43,102,164
21: 158,177,87,253,249,185
22: 131,238,231,27,147,15,118,261
23: 152,243,112,36,28,134
24: 200,111,234,61,113,25
25: 220,165,214,113,234,24
26: 98,137,105,72,133,193
27: 131,238,124,22,135,148
28: 18,179,134,23,152,128
29: 102,16,109
30: 78,7,182,140,81
31: 202,174,39,38,46,52
32: 72,133,235,118,173,47
33: 59,259,221,110,55
34: 205,152,37
35: 191,195,181,170
36: 99,89,112,23,243,82
37: 34,205,82
38: 46,39,31
39: 174,31,14,38,252
40: 178,86,76,197,171,73
41: 240,74,125,204,258,79
42: 47,236,254,133,137,77,73
43: 20,80,164,242,65,228,60,232
44: 171,93,86,97,229
45: 217,119,55,203,96,247,75
46: 51,84,38,31,83,52
47: 42,168,236,118,231,133,32
48: 211,183,108,179,10,241
49: 71,70,141
50: 161,198,91,90,68,123,218
51: 84,46
52: 83,6,46,202,31,57
53: 186,20,80,83,6,8
54: 19,250,163,74,125,213
55: 217,119,45,110,33,259,184
56: 158,166,132,111,69,157
57: 172,192,202,52,6,142
58: 132,63,62,196,200
59: 33,259,184,188,71
60: 167,239,232,43,242,65
61: 104,116,113,196,200,24
62: 196,63,58
63: 132,58,176,62,215
64: 237,107,92
65: 201,228,67,43,167,60,207
66: 240,258,222
67: 65,201,228,8,192,148,135
68: 210,90,123,226,50
69: 126,110,157,132,176,56
70: 159,141,75,184,217,49,71
71: 49,59,184,70
72: 133,32,235,94,105,262,26
73: 171,77,42,254,197,40
74: 41,240,125,54,213,136
75: 159,70,217,45,203,156
76: 178,139,40,197,117,169
77: 171,73,93,133,42,137,245
78: 30,81,127
79: 258,107,204,41
80: 20,53,43,228,8
81: 140,216,256,78,30,127
82: 205,243,36,99,145,37
83: 52,6,84,46,186,53
84: 51,46,190,83,186
85: 181,121,91,244,218
86: 178,40,171,44,97,18,134
87: 158,224,21,253,94,96,262
88: 154,107,92,204,13,122
89: 36,213,99,19,112,139
90: 210,91,68,129,130,121,50
91: 90,85,121,218,50
92: 154,107,88,216,237,64
93: 171,77,44,137,245,229
94: 227,105,96,262,87,72
95: 215,251,176,100
96: 227,94,247,224,87,119,45
97: 108,199,171,44,86,18
98: 129,137,245,26,193,209
99: 36,213,89,136,145,82
100: 221,188,95,251,126
101: 156,193,106,246,209,130,194
102: 29,190,186,20,109
103: 208,117,9,17,19
104: 252,116,61,113,114
105: 227,94,189,72,193,246,26
106: 101,156,159,115,195,194
107: 92,88,204,64,79
108: 199,97,18,179,48,183
109: 20,29,102,16,146,164
110: 126,69,157,221,33,119,55
111: 200,234,24,132,56,166
112: 178,139,36,89,134,23
113: 252,104,61,174,24,25,214
114: 223,14,104,116
115: 0,191,195,159,141,106
116: 104,61,114,196
117: 103,208,169,19,76,139
118: 147,173,231,22,32,47
119: 55,45,110,157,224,96
120: 187,162,149,248,13,122
121: 85,130,194,181,91,90
122: 154,88,13,225,120,162
123: 226,199,68,161,50,183
124: 238,27,135,151,230,144
125: 41,74,204,13,54,163
126: 69,110,176,100,221
127: 78,216,81
128: 10,212,28,179,152
129: 98,245,209,130,210,90
130: 194,121,101,209,129,90
131: 27,22,206,172,148,261
132: 63,58,176,111,69,56
133: 72,32,42,47,137,26,77
134: 18,28,112,178,86,23
135: 27,124,148,201,67,151
136: 222,145,260,74,213,99
137: 98,245,26,133,42,77,93
138: 161,198,233,180
139: 112,178,76,117,19,89
140: 81,256,30,153,182
141: 159,70,49,0,115
142: 220,206,214,202,172,57
143: 198,233,150,218
144: 208,169,238,124,9,230,12,168
145: 11,136,260,99,82
146: 7,164,16,109
147: 249,15,118,173,261,22
148: 172,192,67,131,27,135
149: 187,120,248,257,17
150: 244,218,143
151: 207,155,230,201,124,135
152: 34,23,205,243,28,128
153: 167,239,182,140,225,256,162
