213: 576,609,393,454,462,630
214: 25,422,174,717,554,759,220
215: 677,411,693,539,574,300,95
216: 367,92,280,154,371,703
217: 608,75,266,424,544,45,607
218: 244,85,385,91,143,581,622
219: 718,373,241,339
220: 712,165,25,214,759,647,627
221: 502,259,188
222: 469,345,66,377,482,74
223: 283,697,452
224: 158,603,21,357,620,515
225: 550,140,415,256,371,389
226: 565,679,596,503,210,767
227: 500,189,203,728,94,639,618
228: 8,201,67,656,80,271,65
229: 384,444,429,171,328,565,210
230: 706,375,476,9,431,208,732
231: 147,341,549,743,753,22,396,635
232: 418,242,43,733,501,449,60
233: 638,637,558,514,138,50
234: 111,489,652,494,427,746
235: 519,317,253,669,741,660,281
236: 47,279,748,556,118,678,524,586
237: 434,504,488
238: 743,124,27,753,421,396,633
239: 613,350,449,153,756,415
240: 322,482,204,346,125,377
241: 373,351,10,219,646
242: 146,418,232,733,626,164
243: 82,441,265,446,477,294
244: 150,413,218,85,716,581
245: 688,467,93,471,768,98,675,137,303
246: 381,105,193,189,728,498,209
247: 428,639,527,668,699,618,94
248: 408,13,416,335,163,484
249: 302,553,426,493,185,655,701,709
250: 671,663,325,54,301,486
251: 292,390,321
252: 14,114,695,611,439,318,113
253: 359,496,669,741,660,397,235
254: 47,42,748,414,285,168,681
255: 698,35,191,316
256: 363,287,550,225,371,280
257: 732,17,602,700,155,9,284
258: 79,487,41,268
259: 221,729,502,33,188,55,361
260: 11,145,66,642,591
261: 15,147,579,206,617,22
262: 87,96,721,660,428,420
263: 654,468,173,549,118,635,459
264: 570,511,68,129,311,330
265: 82,243,294,205,641
266: 525,383,424,184,607,410,217
267: 708,184,533,410,636,567,404
268: 676,724,41,258,345
269: 555,491,509
270: 582,313,107,293,487,758
271: 417,65,80,43,762,228
272: 28,372,370,687,23,134,463
273: 556,571,481,745,144,584,12,168
274: 43,733,164,762,20,355,80
275: 692,417,501,350,60,207,187,593
276: 536,81,127,363
277: 343,385,344,121,400,569
278: 612,734,474,543
279: 236,47,42,748,133,586,662
280: 367,488,216,287,256,371
281: 32,610,669,464,519,235
282: 308,528,399,702,178,310,86,112,18
283: 223,689,440,452
284: 162,167,155,257,602,120,726
285: 378,391,168,658,681,12,254
286: 305,180,362,315,640,211
287: 127,363,256,504,488,280
288: 29,403,16
289: 193,26,451,72,568,443
290: 747,99,398,599,369,36,541
291: 123,442,767,739,596,402
292: 251,390,100
293: 322,204,313,107,270,487
294: 332,205,541,747,446,265,243
295: 710,723,509,682,364,340
296: 163,671,663,169,648,335
297: 190,102,186,20,355,53,353
298: 160,84,46,51
299: 334,405,342,126,406,387
300: 436,95,539,215,423,321
301: 89,486,250,54,576,559
302: 249,655,701,652,427,664,563
303: 675,137,731,540,522,245,471,768
304: 315,478,183,425,97,628,108
305: 286,180,621,640,577,314
306: 625,103,551,714,388,391,658,512
307: 443,675,545,731,133,548
308: 450,528,282,399,310,665
309: 117,564,512,479,625,523
310: 460,86,44,665,308,282,18
311: 129,209,330,456,101,264
312: 156,382,594,651,323,115,506
313: 766,490,107,336,64,270,293
314: 543,305,621,577,530
315: 304,478,628,764,286,362,211
316: 170,255,394,35
317: 72,508,519,235,660,420
318: 689,466,252,114,61,113,448
319: 16,649,403,751,109,626,146
320: 457,212,128,510
321: 423,300,436,251,390,334
322: 482,240,41,293,204,487
323: 547,159,651,115,499,312
324: 69,513,357,761,126,406,713,455
325: 250,663,521,472,486
326: 387,458,33,110,485,352
327: 475,650,329,386,661,719
328: 171,360,93,471,768,565,210,229
329: 713,475,455,650,327,485,352
330: 311,106,101,686,511,264
331: 453,696,7
332: 600,294,205,36,573,541
333: 561,349,473
334: 405,299,342,321,436,390
335: 624,648,416,248,163,296
336: 367,92,434,766,313,64
337: 567,682,404,141,555,645,509
338: 88,408,13,725,154,604,740
339: 530,718,219,577
340: 364,195,682,547,115,295
341: 15,147,549,231,376,426,468
342: 334,299,390,100,387,458
343: 277,85,716,385,121,394,400
344: 121,686,629,572,511,277,569
345: 66,222,482,41,268,724
346: 484,125,54,240,559,433,377
347: 685,659,557,39
348: 197,632,623,40,597,529,657
349: 333,561,473,190,430
350: 239,60,153,756,275,593,749
351: 373,241,704,10,372,212
352: 326,110,485,475,329,526
353: 606,53,552,297,186,683,6
354: 133,32,548,524,610,586,568
355: 80,53,297,20,164,274,762
356: 467,93,129,68,503,210
357: 324,513,761,158,224,455,650,515
358: 134,112,680,369,36,573
359: 253,721,496,741,660,493,763,87
360: 171,328,631,507,73,540,471
361: 525,383,259,33,110,55
362: 286,180,161,315,478,138
363: 127,287,256,81,276,550
364: 340,195,181,295,723,674
365: 717,554,57,535,647,142,560
366: 368,666,592,589,558,612
367: 488,92,280,216,336,434,766
368: 666,366,612
369: 139,290,599,112,358,36
370: 28,372,272,23,510,152,212
371: 389,703,225,256,280,216
372: 28,10,370,272,510,351,212
373: 588,241,351,219,374
374: 219,373,339
375: 706,437,230,9,447,465
376: 553,426,341,496,397,468
377: 222,346,482,240,74,433
378: 414,285,388,658,681,632,523,623
379: 431,208,584,12,438,391,714
380: 200,62,534,644,461,58
381: 193,246,26,98,209,456
382: 106,156,312,594,498,101
383: 361,525,266,526,110,424
384: 425,444,229,614,565,679
385: 277,85,343,569,91,218
386: 327,157,661,742,719,699
387: 326,458,485,299,342,126
388: 378,658,625,306,523,623
389: 518,371,703,153,225,415,562
390: 292,251,100,321,334,342
391: 285,658,379,12,103,714,306
392: 116,411,534
393: 74,576,609,559,433,213
394: 711,35,400,716,343,170,316
395: 683,470,750,587,737,744
396: 238,753,421,231,571,635,481,459,745
397: 253,496,669,376,715,654,468
398: 290,99,454,599,89,432
399: 450,308,528,282,657,597,40,507
400: 711,394,181,194,121,277,343
401: 11,145,136,477,441,583
402: 419,407,90,739,442,291
403: 757,751,109,288,29,16,319
404: 337,567,141,708,267,70,159
405: 334,299,406,176,63,436
406: 405,299,126,176,324,69
407: 91,402,419,442,198,622,637
408: 338,13,725,248,435,483,416
409: 77,667,522,529,662,42,545
410: 708,184,607,267,266
411: 677,215,693,392,534,461
412: 6,737,744,52,202,57
413: 150,244,581,589
414: 378,681,254,42,77,632,623
415: 140,225,613,239,153,389
416: 120,624,335,483,408,248,435
417: 275,692,271,501,65,43
418: 182,146,520,232,242,449
419: 569,91,402,407,572,90
420: 428,668,96,262,660,508,317
421: 124,238,396,476,633,571,745,144
422: 25,113,448,598,174,214
423: 321,539,300
424: 544,45,383,266,526,607,217
425: 384,444,97,614,304,183
426: 376,553,249,185,15,341
427: 234,652,746,492,664,532,616,302
428: 247,668,699,420,96,262
429: 444,229,171,631,450,460,665
430: 190,186,84,561,349,552,83
431: 379,208,144,584,476,230,732
432: 89,480,722,19,398,599
433: 74,559,393,346,54,377
434: 237,367,488,336
435: 408,725,483,518,122,416
436: 300,63,95,321,334,405
437: 706,151,375,201,585,465
438: 578,17,700,379,208,714
439: 252,14,634,566,113,174
440: 104,689,466,283,537
441: 82,243,477,401,583
442: 50,123,291,402,407,637
443: 675,137,307,548,568,26,289
444: 425,384,97,229,429,460
445: 497,516,49,580
446: 462,477,747,99,294,541,243
447: 207,187,155,9,465,375
448: 113,422,598,318,61,735
449: 613,239,60,756,182,418,232
450: 308,399,631,507,429,665
451: 105,193,289,72,508,94
452: 689,223,283,697,114,611
453: 16,649,696,331
454: 99,398,89,576,213,462
455: 713,650,329,324,513,357
456: 129,209,311,381,98,688,467
457: 320,212,588,704
458: 326,387,33,100,342,729,752
459: 118,635,481,745,678,396,173,263
460: 310,44,665,444,97,429
461: 534,380,677,411,531,58
462: 446,630,477,213,99,454
463: 134,680,546,86,272,687
464: 715,173,669,281,610
465: 207,447,201,692,65,437,375
466: 104,689,440,318,114,196,61
467: 688,356,93,245,768,129,456
468: 654,263,376,341,549,397
469: 66,222,74,609,136,145
470: 683,395,750,587,744,656,606,694
471: 93,245,768,303,540,360,328,73
472: 117,512,521,325,486,480
473: 333,349,29,190,102,705
474: 278,734,514,621,543
475: 329,327,352,526,544,719
476: 706,151,633,230,421,431,144
477: 462,446,136,630,401,441,243
478: 161,304,730,315,183,362
479: 564,309,197,523,40,76,619
480: 89,486,432,117,472,722
481: 556,571,118,273,459,745,678,396
482: 322,240,41,345,222,377
483: 162,562,518,120,416,408,435
484: 346,125,54,13,248,163
485: 326,387,352,126,713,329
486: 89,301,480,250,325,472
487: 79,258,758,270,322,41,293
488: 367,280,287,504,237,434
489: 234,111,652,590,56,166
490: 766,313,107,604,740,92
491: 0,710,509,269
492: 24,735,25,598,427,746,616
493: 553,249,701,709,177,21,763,359,496
494: 234,111,746,200,538,24
495: 583,707,82
496: 359,253,397,376,553,493
497: 516,445,555,645
498: 156,382,101,189,246,209
499: 159,651,323,605,70,720
500: 189,203,227,605,651,156
501: 275,692,417,43,232,60
502: 221,729,259,752
503: 565,517,596,226,210,356,68
504: 127,287,488,237
505: 49,71,59
506: 195,194,115,312,594,130,653
507: 360,631,73,597,450,399,657
508: 72,317,668,420,94,451
509: 491,295,710,555,337,682,269
510: 128,152,34,372,370,320,212
511: 570,572,264,330,344,686
512: 117,472,309,521,625,551,306
513: 324,69,357,761,158,455
514: 233,138,180,621,474
515: 620,673,661,357,224,650
516: 497,445,645,580,636
517: 739,596,503,570,90,68
518: 122,389,703,153,162,562,483,435
519: 72,317,235,32,281,568
520: 182,146,418,696,7
521: 551,670,663,325,169,472,512
522: 540,667,409,303,545,731
523: 197,623,378,388,625,309,479
524: 354,610,586,173,118,236
525: 361,383,266,55,601,184
526: 383,110,352,475,424,544
527: 639,247,699,618,742,45,119
528: 308,282,399,40,702,619
529: 597,77,667,409,632,348,73
530: 339,577,314
531: 63,95,677,461,684,58
532: 712,575,664,165,616,427
533: 184,267,691,615,636
534: 62,380,461,392,411
535: 587,737,365,57,560,172
536: 276,78,81
537: 754,104,440
538: 196,61,24,735,200,644,494
539: 574,215,423,300
540: 667,522,303,471,360,73
541: 332,294,36,747,290,446
542: 578,17,149,648,103,670,169
543: 314,621,278,474
544: 424,45,719,119,475,526,217
545: 307,731,133,522,409,662
546: 86,44,463,179,108,687
547: 159,323,115,682,141,340
548: 354,133,32,568,443,307
549: 147,341,231,654,468,263,635
550: 140,225,81,363,256
551: 521,625,103,306,670,512
552: 52,83,186,430,6,353
553: 376,249,426,493,709,496
554: 717,202,365,57,566,174,214
555: 497,645,337,269,509
556: 273,481,678,236,47,168
557: 697,659,347,14,695,39
558: 638,233,592,366,612,734
559: 576,433,393,346,54,301
560: 142,206,365,535,587,131,172
561: 333,349,160,84,430
562: 162,672,749,483,153,518,389
563: 603,166,652,302,701
564: 117,309,722,479,19,76,619
565: 679,226,503,210,328,384,229
566: 634,31,439,174,202,554
567: 337,404,636,267,645
568: 354,32,548,72,519,289,443
569: 91,419,344,572,277,385
570: 572,511,264,90,68,517
571: 273,481,745,421,396,144
572: 570,511,90,344,569,419
573: 332,600,36,134,358,23
574: 539,215,693
575: 664,532,165,175,185,655
576: 559,213,393,89,301,454
577: 640,718,305,314,339,530
578: 438,17,542,103,714,670
579: 175,142,206,627,261,15
580: 691,49,636,516,445
581: 143,589,413,244,218
582: 64,270,758
583: 495,11,401,441
584: 431,379,144,12,273,168
585: 201,67,124,135,437,151
586: 354,133,524,610,236,279,662
587: 395,535,470,750,737,560,172
588: 373,704,457
589: 143,592,581,413,666,366
590: 690,132,736,760,111,489,56
591: 260
592: 198,143,589,638,558,366
593: 167,672,749,275,350,187
594: 106,312,382,506,130,653
595: 179,48,28,10,687,646
596: 739,517,679,226,503,291,767
597: 529,348,507,73,399,657
598: 25,448,422,735,492,616
599: 290,398,432,139,369,19
600: 332,205,573,23,152
601: 59,55,525,71,615,184
602: 257,17,700,284,149,726
603: 158,177,166,563,224,21,701
604: 766,490,740,154,92,338
605: 608,720,75,500,203,651,499
606: 656,53,353,694,683,470
607: 708,410,266,424,217,608,70
608: 605,217,70,720,75,708,607
609: 74,213,393,469,136,630
610: 354,32,281,524,586,173,464
611: 252,114,695,697,452
612: 278,734,558,368,366
613: 239,449,182,30,140,415
614: 425,384,679,199,730,183
615: 691,71,601,184,533
616: 712,532,492,25,598,427,746
617: 743,27,22,206,131,261
