0: 364,191,491,295
6: 353,412,83,53,395,470
7: 331,520,30
8: 67,80,228,53,470,192
9: 208,230,375,447,155,257
10: 211,241,179,48,351,28
11: 401,145,441,260,495
12: 285,391,273,431,144,379,168
13: 248,408,88,338,484,204,125
14: 223,452,347,39,252
15: 261,175,147,185,426,341
16: 288,403,319,453
17: 438,257,149,335,103,296,169
18: 282,112,463,86,134,272
19: 117,432,76,480,139,290
20: 274,355,297,102,109,164
21: 359,493,158,177,249,224,87
22: 131,27,261,147,231,238
23: 134,272,370,152,358,332,205
24: 492,422,448,61,494
25: 427,422,214,165,220,365
26: 443,98,137,289,381,193
27: 22,131,148,135,124,238
28: 372,351,179,272,370,10
29: 288,403,102,473,109
30: 81,7,520,78,182,140
31: 439,202,174,38,39,46,52
32: 354,133,281,519,289,72,443
33: 458,502,110,326,361,259
34: 37,265,205,152,510,128
35: 191,400,181,316,255,394
36: 294,99,446,332,398,369,290,358
37: 34,265,82
38: 347,39,51,46,31
39: 347,38,14,252,439,31
40: 399,479,348,529,76,308,528,178
41: 258,79,487,482,268,345
42: 414,77,522,254,47,409,307
43: 232,417,501,274,242,164,271
44: 108,86,460,310,97,444
45: 424,527,217,75,203
46: 51,84,38,31,52,83
47: 254,236,168,409,279,524,42
48: 108,179,304,97,315,211,10
49: 71,445,267,516
50: 138,407,198,442,123,161,233
51: 298,84,46,38
52: 412,83,46,202,31
53: 355,353,6,470,80,8
54: 163,484,250,346,433,393,301
55: 361,59,259,184,525
56: 513,69,158,166,132,111,489
57: 142,365,202,412,395,172
58: 111,200,461,380,531,132
59: 259,55,184,188,71,505
60: 232,501,239,449,275,350
61: 200,494,196,466,448,24
62: 392,196,116,104,380
63: 461,95,531,436,405,176
64: 270,336,313
65: 228,271,417,465,201,275,207
66: 268,345,222,469,145,260
67: 228,8,192,148,135,201
68: 517,291,90,264,129,503,511
69: 324,56,513,132,176,406
70: 410,217,404,499,75,159
71: 49,505,267,59,184
72: 451,289,317,508,32,519
73: 414,77,360,197,399,529,171,507
74: 377,222,136,469,433,213,393
75: 500,156,203,45,527,217,70,499
76: 117,19,479,40,178,139
77: 414,360,73,522,42
78: 276,30,81
79: 258,487,41,270,293
80: 228,271,8,274,355,53
81: 276,30,363,256,78,140
82: 495,243,441,37,265
83: 52,353,412,186,6,84,46
84: 298,51,430,46,186,83
85: 170,394,343,244,385
86: 108,463,44,460,18,282,310
87: 224,157,96,359,262,21
88: 107,490,338,13,204,125
89: 213,454,393,398,301,486,432
90: 402,517,291,68,511,419
91: 277,419,402,218,385,407
92: 107,490,154,216,367,336,313
93: 210,356,503,467,245,303,328,471
94: 451,420,508,428,247,227,105
95: 461,411,63,300,215,436,405
96: 157,87,262,428,386,420
97: 304,425,444,108,48,44
98: 137,245,26,381,193,456,467
99: 446,36,462,454,398,290
100: 458,502,292,390,342
101: 106,312,130,382,498,209,330
102: 473,190,29,20,297,109
103: 521,169,379,438,17,306,391
104: 196,116,114,466,440,62
105: 193,246,451,94,189,227
106: 506,101,312,130,330,194
107: 88,490,92,293,313,204,322
108: 179,463,48,44,86,97
109: 319,164,102,403,29,20
110: 352,326,485,33,361,383
111: 58,200,494,489,56,132
112: 139,369,358,18,282,178,134
113: 318,448,252,439,174,214
114: 104,466,283,440,452,318
115: 340,195,159,506,323,312
116: 104,440,62
117: 19,76,472,480,512,309,479
118: 481,459,263,173,236,524
119: 247,527,386,327,424,526,475
120: 416,483,162,284,149
121: 343,194,400,130,277,344
122: 154,371,389,518,435,338
123: 291,199,183,50,442,161
124: 27,135,151,238,421,476
125: 240,204,346,13,88,484
126: 326,485,455,299,406,387
127: 363,287,504
128: 34,320,510
129: 356,503,467,264,311,456,68
130: 106,101,330,194,121,344
131: 22,148,27,172,261,206
132: 56,69,531,111,58,176
133: 354,32,409,279,443,307
134: 23,272,18,112,358,463
135: 148,27,124,67,201,151,437
136: 74,469,213,477,462,401,145
137: 443,98,245,303,26,307
138: 50,161,233,514,180
139: 369,112,290,19,76,178
140: 182,415,30,81,256,225
141: 340,159,404,337,509
142: 57,220,365,395,172,206
143: 218,244,198,366,413
144: 431,230,476,396,421,273,12
145: 11,401,136,469,66,260
146: 331,453,520,242,319,418
147: 261,15,22,231,341,468
148: 131,27,135,192,172,67
149: 284,438,257,17,416,120,335
150: 244,413
151: 375,437,135,124,421,230,476
152: 23,370,34,205,510
153: 162,389,518,239,167,350
154: 216,371,122,490,92,338
155: 167,187,447,9,284,257
156: 500,382,75,189,499,323,312
157: 327,357,224,87,515,96,386
158: 56,513,166,177,224,21
159: 141,340,115,404,70,499,323
160: 349,333,298,430
161: 362,478,123,183,50,138
162: 518,153,167,284,483,120
163: 54,484,250,248,335,296
164: 109,242,319,274,20,43
165: 25,427,220,302,185,175
166: 56,158,489,177,234
167: 187,350,155,162,518,153,284
168: 254,236,47,273,12,285
169: 521,325,103,296,17
170: 85,394,316
171: 328,429,507,471,450,360,73
172: 395,192,57,142,206,131,148
173: 354,281,263,464,235,118,524
