0: 191,295,364,491
6: 353,83,412,395,470,53
7: 331,146,182,30,418
8: 53,80,228,67,470,192
9: 431,208,230,375,447,257,155
10: 211,241,179,48,28,351
11: 495,145,441,260
12: 285,391,379,273,431,144,168
13: 248,435,408,88,338,484,204,125
14: 223,347,452,252,39
15: 261,175,147,185,426,341
16: 288,403,319,453
17: 438,257,149,335,296,103
18: 86,282,310,134,112,463
19: 117,432,290,480,76,139
20: 102,355,297,109,164,274
21: 359,493,158,177,249,224,87
22: 131,27,261,147,231,238
23: 152,272,370,134,332,358,205
24: 492,422,448,61,494
25: 427,422,220,214,365,165
26: 443,98,137,289,32,193
27: 22,131,148,135,124,238
28: 272,370,179,10,372,351
29: 288,403,473,102
30: 182,140,7,78,81
31: 439,39,174,202,38,52,46
32: 354,133,281,289,72,443,26
33: 221,458,502,326,259,361
34: 37,265,205,152,128
35: 255,191,394,400,181,316
36: 294,99,446,290,398,369,332,358
37: 34,265,82
38: 347,51,39,31,46
39: 439,31,14,347,38,252
40: 197,399,479,348,76,308,178
41: 258,487,240,482,345,268
42: 254,47,409,307,414,77
43: 232,417,501,242,164,274,271
44: 108,444,460,86,97
45: 119,247,203,424,217,75
46: 52,83,38,51,84,31
47: 254,236,168,409,42,279
48: 108,179,304,97,315,211,10
49: 71,445,337,267,497
50: 138,407,198,123,442,161
51: 298,84,38,46
52: 46,83,412,31,202
53: 80,8,353,6,355,470
54: 163,484,301,250,346,393,433
55: 59,259,184,383,361,266
56: 132,489,69,158,166,324,111
57: 365,142,202,412,395,172
58: 111,200,196,461,63,132
59: 188,259,184,55,71,505
60: 232,501,239,449,275,350
61: 200,466,196,448,24
62: 116,196,392,380
63: 461,411,95,58,405,176,132
64: 270,336,313
65: 201,465,228,271,417,275,207
66: 222,345,469,268,145,260
67: 228,8,192,148,135,201
68: 291,90,226,264,129,503
69: 132,56,324,176,406,455
70: 410,217,404,159,75,499
71: 49,267,505,59,184
72: 451,289,317,32,281,235
73: 414,77,360,197,399,171,507
74: 377,222,469,136,213,393,433
75: 500,156,499,45,203,217,70
76: 117,19,479,40,178,139
77: 414,360,73,42,303,307
78: 276,81,30
79: 258,487,270,293
80: 274,53,228,271,8,355
81: 276,78,363,30,140,280,256
82: 243,495,441,37,265
83: 52,353,46,186,6,412,84
84: 298,51,430,46,186,83
85: 170,343,394,385,244
86: 18,282,310,460,108,463,44
87: 224,157,359,262,21,96
88: 107,490,338,13,204,125
89: 213,454,393,398,301,486,432,290
90: 402,291,68,264,91,419
91: 277,385,419,402,90,218,407
92: 107,490,367,216,154,336,313
93: 210,356,245,303,229,328,471
94: 451,420,508,428,227,105
95: 411,63,300,215,436,405
96: 428,386,157,87,262,420
97: 304,425,444,108,48,44
98: 137,245,26,381,193,456,467
