215: 300,95,539,574,411
216: 154,122,371,367,280,92
217: 410,70,75,424,266,45
218: 91,385,407,143,244,581
219: 339,374,286,211,241,577
220: 175,142,365,206,214,25,165,579
221: 502,188,259
222: 74,377,469,482,345,66
223: 452,557,283
224: 357,157,87,515,21,158,513
225: 550,140,256,415,389,371
226: 565,199,503,596,384
227: 500,203,189,247,94,105
228: 8,65,80,271,67,201
229: 171,328,429,210,565,384,444
230: 431,208,476,151,375,9
231: 396,459,147,22,238,549,263
232: 60,501,242,43,418,449
233: 558,514,50,138,198
234: 489,494,492,427,563,302
235: 397,464,173,253,519,317,281
236: 47,279,556,118,481,524,586
237: 504,488,434
238: 22,27,124,396,231,421
239: 415,449,60,153,350
240: 204,125,346,322,482,377
241: 211,10,351,374,219,373
242: 319,164,43,146,418,232
243: 82,446,441,477,265,294
244: 85,218,385,150,413,581
245: 98,137,303,467,93,471
246: 381,105,193,189,498,209
247: 428,119,527,386,94,203,227
248: 335,408,416,13,163,484
249: 177,302,185,426,493,575,553,603
250: 163,54,296,325,301,486
251: 321,390
252: 14,452,39,318,113,439
253: 359,262,496,397,235,519,317
254: 47,168,42,285,378,414
255: 316,191,35
256: 550,363,225,371,280
257: 284,438,17,602,155,9,208
258: 79,487,41,268
259: 361,55,221,33,502,188,59
260: 11,591,66,145
261: 15,147,579,206,22,131
262: 359,253,87,96,317,420
263: 549,468,464,173,231,118,459
264: 311,330,129,570,511,68
265: 34,205,294,82,37,243
266: 383,424,525,184,410,217
267: 184,533,567,410,404
268: 345,66,41,258
269: 555,509,491
270: 64,313,582,293,79
271: 65,80,228,274,43,417,501
272: 134,23,573,179,463,28,370
273: 481,571,144,584,168,556,12
274: 20,355,164,43,80,271
275: 60,417,501,187,207,350
276: 127,536,81,363
277: 121,344,569,343,385
278: 474,543,314
279: 236,47,409,42,133,586
280: 367,363,256,287,216,371
281: 354,32,464,235,173,519
282: 310,308,528,112,178,86,18
283: 440,114,223,452
284: 257,149,602,167,155,162,120
285: 12,378,388,391,254,168
286: 362,315,211,305,219
287: 127,504,363,367,488,280
