0: 191,141,115
6: 57,8,192,52,83,53
7: 30,182,146,164,43
8: 6,148,192,53,80,67
9: 151,149,155,124,103,144
10: 128,179,48
11: 136,66,145
12: 73,42,47,168,197,169,144
13: 122,120,204,125,163
14: 38,39,114,104
15: 147,185,175,142,172,131,22
16: 146,29,109
17: 54,163,149,19,103
18: 28,179,97,134,86,108
19: 117,89,54,17,139
20: 186,109,53,164,43,80
21: 147,173,185,158,177,87
22: 131,27,147,15,118,47
23: 112,134,36,82,152,205
24: 111,61,25,113,165,166
25: 174,113,175,142,165,24
26: 72,133,32,105,98,137,193
27: 131,135,168,124,22
28: 128,179,152,18,134
29: 190,109,102,16
30: 7,140,182,78,81
31: 38,39,52,174,202
32: 72,133,26,173,118,47
33: 110,126,100,188,59,55
34: 37,205,82,152
35: 85,181,191,170
36: 82,99,89,112,139,23
37: 34,82,145
38: 14,39,31,46,52
39: 38,14,31,104,174,113
40: 97,77,171,73,86,76
41: 79,74,125,136,66
42: 73,47,12,133,77
43: 65,80,20,164,60,7,182
44: 97,171,93,68,199
45: 94,119,203,75,156
46: 52,84,83,51,38
47: 42,12,118,168,22,32
48: 180,183,108,179,10
49: 70,141,71
50: 91,90,198,68,123,161
51: 46,84
52: 46,83,38,31,6
53: 186,20,83,6,8,80
54: 74,125,89,163,17,19
55: 59,184,33,110,119
56: 158,166,157,132,111,69
57: 6,192,142,202
58: 132,63,200,111,196
59: 71,55,184,33,188
60: 182,153,65,43,167
61: 200,111,24,196,104,116,113
62: 63,196
63: 132,95,176,58,62
64: 127,107,92
65: 43,80,67,60,201,167
66: 11,136,41
67: 65,80,148,8,135,151,201
68: 50,90,129,93,44,123,199
69: 110,126,132,176,56,157
70: 49,141,159,71,184,75
71: 59,184,49,70
72: 32,26,87,173,94,105
73: 42,12,197,77,40,76
74: 125,89,54,41,99,136
75: 184,45,70,159,156
76: 86,139,178,73,197,117,40
77: 40,171,133,73,42,137,93
78: 127,81,30
79: 41,107,204,125
80: 65,43,67,20,53,8
81: 127,78,30,140,154,92
82: 36,99,23,145,34,37,205
83: 46,52,84,186,53,6
84: 46,83,51,190,186,102
85: 35,181,121,91,150,170
86: 134,76,178,97,40,18
87: 158,177,96,21,173,94,72
88: 154,107,92,204
89: 74,54,19,36,99
90: 50,91,68,129,130,121
91: 50,90,198,85,121,150,143
92: 154,107,88,127,81,64
93: 129,137,77,171,44,68
94: 45,119,105,203,87,96,72
95: 63,176,100,126
96: 158,157,87,94,119
97: 40,171,44,86,108,199,18
98: 129,137,193,130,26,101
99: 36,82,74,89,136,145
100: 95,33,126
101: 156,194,106,189,98,193,130
102: 186,109,29,190,84
103: 117,169,144,9,149,17
104: 114,116,14,39,61,113
105: 94,203,72,26,189,193
106: 101,156,194,115,159,195
107: 92,88,64,79
108: 183,199,97,179,18,48
109: 186,20,102,29,146,16,164
110: 33,69,126,157,55,119
111: 200,61,24,132,58,166,56
112: 134,139,178,23,36
113: 25,174,104,39,61,24
114: 104,116,14
115: 141,159,106,0,191,195
116: 114,104,61,196
117: 19,103,197,169,76,139
118: 147,173,22,32,47
119: 45,94,110,157,96,55
120: 122,162,13,187,149,163
121: 85,181,194,130,91,90
122: 120,162,13,140,153,154
123: 183,199,50,68,161
124: 135,168,27,151,9,144
125: 74,54,163,13,204,41,79
126: 33,69,110,95,176,100
127: 78,81,92,64
128: 28,179,152,10
129: 98,137,93,130,90,68
130: 129,98,101,194,121,90
131: 135,27,22,148,172,15
132: 63,176,58,111,69,56
133: 32,26,42,137,77
134: 112,86,178,23,28,152,18
135: 131,27,124,148,67,151
136: 11,66,74,41,99
137: 129,98,93,133,26,77
138: 161,180
139: 112,76,178,19,117,36
140: 30,182,153,81,122,154
141: 49,70,115,159,0
142: 25,174,175,202,57,172,192,15
143: 91,198,150
144: 103,169,168,124,9,12
145: 11,82,99,37
146: 16,164,109,7
147: 21,173,15,118,185,22
148: 8,172,192,67,131,135
149: 9,155,120,187,103,163,17
150: 170,85,91,143
151: 201,9,155,67,135,124
152: 128,28,134,23,34,205
153: 60,140,182,167,122,162
154: 92,88,140,81,122
155: 151,201,9,167,149,187
156: 101,106,189,75,45,203,159
157: 158,56,96,69,110,119
158: 177,166,56,157,87,96,21
159: 70,141,115,75,156,106
160: 190
161: 138,50,198,123,183,180
162: 122,120,187,153,167
163: 125,54,17,149,120,13
164: 146,20,109,43,7
165: 25,175,24,177,166,185
166: 158,177,56,111,24,165
167: 201,155,65,60,153,162,187
168: 27,124,47,12,144
169: 103,197,117,144,12
170: 150,85,35
171: 97,77,40,44,93
172: 148,192,142,15,131
173: 147,21,118,87,72,32
174: 25,113,142,202,39,31
175: 25,142,165,15,185
176: 132,63,95,69,126
177: 158,166,87,165,21,185
178: 112,134,86,76,139
179: 128,28,18,108,48,10
180: 48,183,138,161
181: 85,35,195,121,194,191
182: 30,60,7,140,153,43
183: 123,108,199,161,180,48
184: 71,59,55,75,70
185: 147,21,15,175,165,177
186: 20,109,102,53,84,83
187: 120,162,167,149,155
188: 33,59
189: 101,156,105,203,193
190: 160,29,84,102
191: 0,115,35,195,181
192: 57,6,148,8,172,142
193: 98,105,26,101,189
194: 101,106,130,195,181,121
195: 181,115,194,106,191
196: 200,61,62,116,58
197: 117,169,73,12,76
198: 50,91,143,161
199: 123,183,108,97,44,68
200: 111,61,196,58
201: 151,167,155,65,67
202: 174,142,31,57
203: 45,94,105,156,189
204: 88,13,125,79
205: 34,23,82,152
