0: 491,191,295
6: 412,353,552,53,395,470
7: 331,520,78,30
8: 80,228,53,470,192,67
9: 257,375,155,447,208,230
10: 211,241,48,179,351,28
11: 401,145,441,260,495
12: 285,391,273,431,379,144,168
13: 88,338,248,408,484,204,125
14: 557,347,39,252
15: 261,147,175,341,185,426
16: 288,403,453
17: 438,257,149,103,542,551
18: 463,86,282,112,134
19: 117,432,76,480,139,290
20: 274,355,297,102,109,164
21: 359,493,158,177,249,224,87
22: 131,27,238,261,147,549,231
23: 134,272,370,358,332,205,152
24: 492,422,532,61,448,538,494
25: 427,422,214,165,532,220,365
26: 443,98,137,568,381,193,289
27: 22,131,148,135,124,238
28: 372,351,179,272,370,10
29: 288,403,102,473,109
30: 81,140,7,520,78,182
31: 566,202,38,39,46,52
32: 354,133,281,548,519,72,289,568
33: 458,502,326,110,361,259
34: 265,205,152,37,510,128
35: 364,191,181,400,316,255,394
36: 541,294,369,290,358,332
37: 82,34,265
38: 347,39,51,46,31
39: 347,38,14,252,439,566,31
40: 399,479,348,564,76,178,528
41: 258,487,482,268,345
42: 414,77,522,545,254,47,409
43: 232,501,274,242,164,271
44: 108,86,546,460,310,97,444
45: 424,544,527,217,75,203
46: 51,84,38,31,52,83
47: 254,236,168,409,279,556,42
48: 211,10,304,108,179,546,315
49: 71,516,533,505,445
50: 138,442,198,123,233,407,161
51: 298,84,46,38
52: 412,83,552,46,202,31
53: 355,6,353,470,8,80
54: 163,484,250,346,301,559
55: 361,59,259,184,525
56: 158,513,166,132,111,489,69
57: 142,365,560,202,554,412,395,535
58: 461,380,531,132,111,200
59: 259,55,184,188,505,71
60: 232,501,275,449,239,350
61: 196,466,318,448,538,24
62: 534,116,196,104,380,200
63: 461,531,436,95,405,176
64: 270,336,313
65: 228,271,417,465,201,207
66: 268,345,222,469,145,260
67: 470,192,8,228,148,135,201
68: 517,90,264,356,129,503,511
69: 176,406,324,132,56,513
70: 410,217,404,499,75,159
71: 49,533,267,59,184,505
72: 451,519,317,508,32,289
73: 414,77,360,540,399,529,507
74: 377,222,469,433,213,393,136
75: 217,70,499,45,500,156,203
76: 117,19,40,564,178,139
77: 414,73,522,42,540
78: 536,7,30
79: 258,487,270,293
80: 8,228,271,274,355,53
81: 550,30,363,140,536,276
82: 495,37,441,243,265
83: 52,353,552,84,46,186
84: 298,51,430,46,186,83
85: 170,394,343,244,385
86: 108,463,44,546,18,460,282,310
87: 224,157,96,359,262,21
88: 107,490,338,13,204,125
89: 301,398,454,393,486,432,480
90: 68,517,291,402,511,419
91: 218,385,407,277,402,419
92: 490,154,216,367,336,313
93: 210,356,467,245,328,471
94: 451,508,428,247,227,105
95: 300,215,436,461,411,63
96: 157,87,262,428,386,420
97: 304,425,444,108,44
98: 137,245,26,381,456,467
99: 541,446,462,398,454
100: 458,502,292,390,342
101: 106,382,312,498,209,311,330,130
102: 190,473,29,20,297,109
103: 521,551,379,438,17,306,391
104: 196,114,466,440,62,116
105: 193,246,451,94,227,189
106: 506,101,312,330,194,130
107: 88,490,293,313,204,322
108: 86,44,546,304,97,48
109: 319,164,102,403,29,20
110: 352,485,33,326,361,383
111: 489,200,494,58,132,56
112: 139,369,358,178,282,18,134
113: 318,448,252,439,174,422,214
114: 104,466,283,440,452,318
115: 547,195,323,506,312
116: 62,537,440,104
117: 19,76,472,480,512,309,564
118: 481,459,263,464,173,524,236,556
119: 247,527,386,327,475,544
120: 335,416,483,162,284,149
121: 343,194,400,130,277,344
122: 154,216,371,389,518,435
123: 50,442,199,291,183,161
124: 27,135,238,151,437,421
125: 240,204,346,88,13,484
126: 455,485,299,406,387,326
127: 504,276,287,363
128: 34,320,510
129: 356,503,467,264,311,456,68
130: 194,121,106,101,330,344
131: 22,148,27,206,172,261
132: 58,531,111,176,69,56
133: 354,32,548,409,279,307,545
134: 23,272,112,358,463,18
135: 148,27,124,67,201,151,437
136: 401,145,477,74,469,213,462
137: 443,98,245,303,26,307
138: 50,233,161,362,514,180
139: 369,112,290,19,76,178
140: 550,30,81,225,182,415
141: 547,340,159,404,509,337
142: 57,220,365,206,560
143: 218,244,198,366,413
144: 431,476,396,421,273,481,12
145: 11,401,136,469,66,260
146: 331,453,520,242,319,418
147: 261,15,341,22,549,231
148: 131,27,135,192,172,67
149: 284,257,17,335,416,120,542
150: 244,413
151: 375,437,135,124,421,230,476
152: 34,205,23,370,510
153: 162,389,518,562,415,239,350
154: 216,371,122,435,490,92,338
155: 167,187,447,284,257,9
156: 500,189,499,75,323,382,312
157: 327,224,87,515,96,386
158: 56,513,166,563,177,357,224,21
159: 547,141,323,404,70,499
160: 298,430,561
161: 362,478,183,50,138,123
162: 518,153,562,167,284,483,120
163: 54,484,250,248,335,296
164: 109,242,319,274,20,43
165: 25,427,220,302,185,175
166: 158,56,563,489,177
167: 187,155,350,162,562,284
168: 254,47,556,273,12,285,378
169: 521,325,296,542,551
170: 85,394,316
171: 328,429,507,471,450,360
172: 192,535,206,560,131,148
173: 263,464,235,118,354,281,524
174: 566,554,113,439,214,365
175: 261,15,165,220,206,185
176: 405,299,406,69,63,531,132
177: 302,249,234,158,166,563,21,493
178: 528,282,40,76,139,112
179: 463,546,272,10,48,28
180: 314,305,138,286,362,514,543
181: 364,35,195,194,400
182: 415,418,449,520,30,140
183: 384,425,199,123,161,478
184: 59,55,525,266,71,267,410
185: 302,249,426,165,15,175
186: 430,84,190,353,83,297
187: 167,155,350,207,447,275,562
188: 221,59,259
189: 500,156,227,105,246,498,382
190: 102,349,473,430,186,297
191: 364,35,295,0,255
192: 395,470,172,535,67,8,148
193: 381,105,246,289,451,26
194: 400,121,130,195,106,506,181
195: 547,340,115,506,364,181,194
196: 61,104,466,62,538,200
197: 479,348,523,529,378,414
198: 50,233,218,143,407,366,558
199: 517,291,226,384,183,425,123
200: 538,111,494,62,196,380,58
201: 465,437,67,65,228,135
202: 31,554,52,412,57
