0: 191,115,141
6: 52,83,53,192,8,57
7: 146,164,242,30,182,232
8: 192,6,53,80,228,67
9: 151,155,230,149,144,103,208
10: 212,241,128,179,48
11: 136,222,145
12: 168,236,197,144,169,73
13: 88,204,122,120,163,125
14: 223,114,104,39
15: 147,185,206,175,131,22
16: 29,109,146
17: 19,54,163,149,103
18: 28,179,134,86,108,97
19: 17,213,54,103,117,139,89
20: 186,109,53,80,102,164,43
21: 147,185,158,177,87,173,235
22: 131,238,231,27,147,15,118
23: 28,134,112,36,205,152,243
24: 200,111,234,61,113,25,165
25: 220,165,214,113,174,234,24
26: 72,133,105,193,98,137
27: 131,238,124,22,148,135
28: 18,179,134,23,152,128
29: 102,16,109
30: 78,7,182,140,81
31: 202,174,39,38,46,52
32: 72,133,173,118,42,47
33: 55,184,221,110,59
34: 37,205,152
35: 195,181,191,170
36: 82,99,89,112,139,23,243
37: 34,205,82
38: 39,31,46
39: 174,31,14,38,104,113
40: 178,86,76,197,171,73
41: 240,74,125,204,79
42: 47,236,133,32,137,77,73
43: 65,228,20,80,164,242,60,232
44: 171,93,86,97,229
45: 119,55,217,227,203,96,75
46: 52,83,38,51,84,31
47: 42,168,236,118,231,133,32
48: 211,183,108,179,10,241
49: 71,70,141
50: 91,90,68,123,161,198,218
51: 84,46
52: 46,6,83,202,31,57
53: 186,20,80,6,83,8
54: 17,19,213,163,74,125
55: 33,119,184,45,217,110
56: 158,224,166,132,111,69,157
57: 192,202,52,6,142
58: 132,63,62,196,200
59: 188,33,184,71
60: 167,239,232,65,43
61: 104,116,113,196,200,24
62: 196,215,63,58
63: 132,58,176,62,215
64: 237,107,92
65: 43,228,67,201,167,60,207
66: 240,222
67: 65,228,201,148,8,135
68: 50,90,210,123,226
69: 126,110,157,132,176,56
70: 159,141,75,184,217,49,71
71: 49,59,184,70
72: 133,32,26,173,235,94,105
73: 171,77,12,42,236,197,40
74: 41,240,125,213,54,136
75: 159,70,45,217,203,156
76: 178,139,40,197,117,169
77: 171,73,133,42,137,93
78: 30,81,127
79: 107,204,41
80: 20,53,8,43,228
81: 140,216,78,30,127,154
82: 36,99,145,37,205,243
83: 46,52,6,84,186,53
84: 51,190,46,83,186
85: 181,121,91,170,244,218
86: 178,40,171,44,97,18,134
87: 158,224,21,94,96,235
88: 154,107,92,204,13,122
89: 36,99,19,213,112,139
90: 50,91,68,210,129,121,130
91: 50,90,85,121,218
92: 154,107,88,216,237,64
93: 129,98,137,77,44,210,229
94: 227,105,96,87,72,235
95: 215,176,100,126
96: 227,94,224,87,119,45
97: 108,199,229,44,86,18
98: 129,137,93,26,193,209
99: 36,82,89,213,136,145
100: 221,188,95,126
101: 156,189,106,193,209,194,130
102: 29,190,186,20,109
