0: 491,710,723,674,765,698
6: 395,683,744,52,552,999
7: 182,520,696,331,973
8: 67,192,799,80,656,694,809
9: 447,732,155,997,940,1105,230,375
10: 28,595,926,351,949,883
11: 583,401,145,1120,591
12: 880,584,273,556,801,285,168
13: 88,981,338,408,248,942
14: 439,695,557,39,791,634,566
15: 579,261,898,175,426,147,341
16: 453,1034,649
17: 149,602,821,438,700,578,542
18: 86,282,855,178,310,680
19: 722,398,432,139,76,917,599
20: 274,1058,762,53,355,109
21: 177,709,874,620,1121,603,763
22: 753,231,854,27,617,919,743,1051
23: 272,600,573,878,818,370,152
24: 234,492,746,1044,538,494
25: 1110,1004,712,1046,214,945,759
26: 193,1092,1102,443,675,98,381,137
27: 148,131,1049,617,919,743,135,22
28: 10,595,882,687,372,926,1069
29: 757,705,473,288,841
30: 78,973,182,824,140,81
31: 791,634,643,985,999,412,202
32: 72,789,519,1083,877,354,937,568,864
33: 259,729,895,110,361,458
34: 128,1005,510,152,738,641
35: 1012,1020,711,191,1106,394,778
36: 358,369,541,290,1107,573,332
37: 707,82,265,755
38: 39,889,685,46,791,643
39: 685,38,347,557,14,695,791
40: 619,479,528,523,197,802,348
41: 345,724,482,1088,268
42: 254,279,952,748,662,409,414
43: 274,762,995,417,271,733
44: 956,97,108,460,852,86,546
45: 1036,976,1030,424,607,217
46: 889,38,881,298,643,1029
47: 681,168,1047,556,678,254,748,1119
48: 1091,1099,840,646,595,1031
49: 691,944,445,580
50: 138,161,123,1094,637
51: 889,881
52: 829,552,985,83,999,6
53: 20,355,297,102,109,914
54: 163,671,847,1087,484,250,938
55: 188,59,601,259,361,525
56: 1023,927,590,1056,798,736,690,761
57: 365,554,1065,945,717,759
58: 531,772,1033,132,684
59: 188,55,1045,601,505
60: 501,232,886,756,449,275
61: 318,946,735,448,466,196
62: 868,754,104,644,534,380
63: 176,727,95,531,684,816
64: 582,270,860,336,766,313
65: 809,815,417,271,228,975
66: 145,833,260,830,1120,345,724,642
67: 192,8,809,228,201,585
68: 503,827,264,356,977,920,825,963
69: 176,727,690,761,324,406,513
