0: 491,295,364,191
6: 606,412,395,552,52,353
7: 78,30,331,520,182
8: 67,228,53,80,470,192
9: 155,447,375,208,230,257
10: 595,646,28,351,241
11: 260,145,401,583
12: 285,391,168,431,379,584
13: 88,338,248,408,484,125
14: 252,557,611,347,39,634,439
15: 261,147,341,175,579,426,185
16: 453,649,288,403
17: 438,257,149,602,103,578,542
18: 134,358,463,282,112,86
19: 117,564,480,432,139,599,76
20: 274,355,297,102,109,164
21: 620,224,87,158,603,493,359
22: 238,27,617,231,261,147,549
23: 134,272,573,600,370
24: 61,538,448,494,598,492
25: 598,427,532,165,616,422,214,220
26: 381,193,289,443,98,137
27: 22,124,238,135,617,148,131
28: 372,351,370,272,595,10,179
29: 288,403,109,102,473
30: 78,7,182,613,140,81
31: 38,39,634,46,643,566,202,52
32: 354,281,548,568,610,519,72
33: 326,458,110,502,259,361
34: 128,152,205,641
35: 316,255,191,181,400,394
36: 541,290,369,573,358,332,294
37: 641,82,265
38: 347,39,31,634,51,46,643
39: 347,38,31,634,14
40: 197,619,479,348,528,399,178
41: 322,482,487,258,268,345
42: 47,279,254,414,77,522,409
43: 242,164,274,232,271,417,501
44: 108,546,310,86,97,460
45: 424,544,527,639,217,75
46: 84,643,51,38,31
47: 556,236,279,42,168,254
48: 211,595,179,628,646,108,315
49: 505,445,71,580,533
50: 123,442,637,161,233,138
51: 298,38,46
52: 6,412,552,31,83,643,202
53: 355,353,80,606,470,8
54: 163,250,484,346,301,433,559
55: 361,601,525,188,59,259
56: 158,166,489,590,69,513
57: 202,554,365,412,395,560,535
58: 461,531,132,380,111,200
59: 188,601,55,505,71,615
60: 239,449,350,275,232,501
61: 196,466,24,538,318,448
62: 534,644,116,196,104
63: 436,95,531,405,176
64: 582,270,313,336
65: 228,201,271,417,465,207
66: 345,222,642,469,260,145
67: 8,228,201,192,148,135,585
68: 517,503,129,356,570,264
69: 324,176,406,513,132,590,56
70: 607,608,499,404,410,159
71: 505,49,59,615,533
72: 451,508,519,317,32,568,289
73: 77,540,522,529,597,507,360
74: 377,609,469,433,393,222
75: 217,608,499,605,45,639,500,203
76: 139,178,619,564,19
77: 414,73,522,409,529,42,632
78: 536,30,7,81
79: 258,270,582,487
80: 274,355,53,8,228,271
81: 550,140,78,536,30,276
82: 441,265,243,583,37
83: 84,643,430,186,552,52
84: 46,83,643,298,430
85: 170,394,343,385,244
86: 546,310,44,282,18,463
87: 21,620,96,359,262
88: 338,604,13,107,125,204
89: 301,486,454,432,576,480,398
90: 570,572,419,517,291,402
91: 218,402,622,407,419,569,385
92: 367,154,216,604,490,336
93: 210,356,467,245,471,328
94: 428,247,618,451,508,227,105
95: 300,436,63,215,411,461,531
96: 620,157,87,262,428,386,420
97: 425,444,460,108,44,304
98: 137,381,26,456,467,245
99: 541,446,398,290,454,462
100: 502,292,390,342,458
101: 209,311,330,106,382,498
102: 190,473,29,109,20,297
103: 551,306,578,379,438,17,391
104: 196,466,116,537,440,62
105: 193,246,94,451,227,189
106: 312,382,594,101,330,130
107: 490,313,88,604,293,204
108: 546,44,97,304,48,179,628
109: 403,29,319,102,20,626,164
110: 326,33,485,352,361,383,526
111: 489,200,494,590,538,132,58
112: 139,369,178,282,358,18
113: 318,448,422,439,252,174,214
114: 283,440,452,466,318
115: 547,323,506,312,195
116: 537,62,104
117: 564,19,309,512,472,480
118: 481,459,173,263,524,556,236
119: 247,527,386,327,157,544,475
120: 624,416,483,162,284,149,602
121: 130,194,400,277,629,344,343
122: 154,216,371,389,518,435
123: 50,442,199,291,161,183
124: 238,27,135,151,585,633
125: 240,484,346,88,13,204
126: 324,406,299,326,387,485,455
127: 504,276,287,363
128: 510,320,34,152
129: 311,456,356,467,264,68
130: 194,121,629,106,506,594,330
131: 172,148,206,261,27,617
132: 531,58,111,590,69,176
133: 354,548,586,279,307,545,409
134: 23,272,573,358,18,463
135: 124,27,148,67,585
136: 401,630,477,469,145
137: 443,98,307,303,26,245
138: 233,514,50,637,161,362,180
139: 369,112,599,178,76,19,290
140: 550,81,225,182,30,613,415
141: 337,509,404,547,159,340
142: 647,206,560,627,579,365
143: 592,581,622,198
144: 431,476,584,633,571,421,273
145: 260,11,469,66,401,136
146: 331,520,418,319,649,242,626
147: 261,15,341,22,231,549
148: 192,172,131,67,27,135,617
149: 17,602,120,624,648,542
150: 413,244,170
151: 437,375,585,633,124,230,476
152: 128,510,34,600,205,370
153: 593,518,562,415,239,350,389
154: 216,122,92,338,604,435
155: 167,187,9,447,284,257
156: 500,189,605,651,323,312,382,498
157: 620,224,515,96,650,327,119,386
158: 56,603,166,513,357,21,224
159: 547,323,404,70,499,141
160: 298,561
161: 362,478,183,50,123,138,180
162: 593,518,562,167,284,120,483
163: 54,296,250,248,335,648,484
164: 43,242,626,109,274,20
165: 25,427,532,575,175,647,220,627,185
166: 158,56,603,563,489,177
167: 187,155,162,593,562,284
168: 12,285,254,273,584,556,47
169: 521,325,551,578,542,296
170: 85,394,316,150
171: 229,328,429,507,631,360
172: 535,192,587,148,131,206,560
173: 263,464,118,281,524,610
174: 566,554,214,365,113,422,439
175: 627,579,165,575,185,15
176: 69,406,63,531,132,405
177: 302,249,493,603,166,563
178: 139,112,76,619,40,528,282
179: 595,48,108,546,272,463,28
180: 305,621,286,161,362,514,138
181: 364,191,195,194,400,35
182: 520,418,30,7,613,449,140
183: 161,304,478,199,425,614,123
184: 615,533,267,410,601,525,266
185: 249,426,165,575,175,15
186: 190,430,83,552,297,353
187: 167,155,207,447,275,350,593
188: 59,259,221,55
189: 500,156,227,105,246,382,498
190: 102,349,473,430,186,297
191: 364,181,0,255,35
192: 470,172,587,148,8,67
193: 381,105,246,26,289,451
194: 130,400,121,506,195,181
195: 364,181,547,340,115,506,194
196: 61,104,466,538,62,644,200
197: 523,479,40,348,623,632
198: 622,407,637,143,592,638
199: 291,596,226,614,123,183
200: 111,494,380,644,196,538,58
201: 65,67,228,465,437,585
202: 566,554,57,31,412,52
203: 500,227,618,639,75
204: 322,293,88,107,240,125
205: 332,600,294,641,265,34,152
206: 142,560,579,172,131,261,617
207: 187,447,65,275,417,465
208: 431,379,230,9,438,257
209: 101,311,456,381,246,498
210: 356,93,229,328,565,503
211: 48,646,315,286,219,241,640
212: 372,351,510,320,588,457
213: 609,393,454,576,462,630
214: 554,174,365,113,422,25,647,220
215: 574,411,300,539,95
216: 154,122,371,367,92,280
217: 607,608,75,424,45
218: 91,622,407,385,244,581
219: 339,374,241,640,211
220: 647,627,214,365,25,165
221: 502,188,259
222: 345,66,482,74,377,469
223: 283,452,557,611
224: 21,620,157,515,650,513,158,603,357
225: 550,140,256,415,371,389
226: 565,199,596,503,384,614
227: 500,203,189,94,618,105,246
228: 8,65,67,201,80,271
229: 171,328,429,210,565,384,444
230: 431,208,476,151,375,9
231: 22,238,147,549,635,396,459
232: 501,43,242,418,449,60
233: 474,558,514,138,638,50,637
234: 489,494,492,427,563,302
235: 253,262,397,464,519,317,281
236: 556,47,279,118,481,524,586
237: 434,504,488
238: 22,124,27,231,633,396,421
239: 613,415,449,60,350,153
240: 125,346,322,482,204,377
241: 374,219,211,10,646,351,373
242: 43,626,164,146,418,232
243: 82,441,265,446,477,294
244: 150,413,85,385,218,581
245: 467,93,471,98,137,303
246: 381,105,193,227,189,498,209
247: 428,119,527,386,94,618,639
248: 408,416,335,13,163,484
249: 177,302,553,426,493,185,575
250: 163,54,296,325,301,486
251: 390,321
252: 14,611,318,113,439
253: 359,262,496,235,397,317
254: 285,378,168,47,42,414,623
255: 316,35,191
256: 550,225,363,371,280
257: 284,438,17,602,155,9,208
258: 79,487,41,268
259: 188,221,502,33,361,55
260: 11,591,145,66
261: 15,147,206,579,131,22,617
262: 359,253,235,87,96,317,420
263: 549,635,468,173,464,118,459
264: 570,572,511,311,330,129,68
265: 82,243,294,205,641,37
266: 383,525,424,184,410,607
