0: 191,141,115
6: 52,83,53,57,192,8
7: 146,164,182,30
8: 192,148,6,53,80,67,228
9: 151,155,230,149,144,103,208
10: 212,128,179,48,219
11: 136,222,145
12: 42,47,168,144,197,169,73
13: 122,120,88,204,163,125
14: 114,104,223,39
15: 147,185,206,175,131,22
16: 29,109,146
17: 19,54,163,149,103
18: 28,179,134,86,108,97
19: 17,117,139,89
20: 186,109,53,164,43,80
21: 147,185,158,177,87,173
22: 131,231,27,147,15,118,47
23: 28,134,112,36,205,152
24: 200,111,166,61,113,25,165
25: 220,165,214,113,174,24
26: 72,133,32,105,98,137,193
27: 131,135,231,124,22,148
28: 128,179,134,18,23,152
29: 16,109,102
30: 81,140,7,78,182
31: 38,174,39,202,52
32: 72,133,26,173,118,47
33: 55,221,110,188,59
34: 37,205,152
35: 85,181,191,170
36: 82,99,89,112,139,23
37: 34,205,82,145
38: 39,31,46
39: 38,174,31,104,14,113
40: 171,73,197,178,86,76
41: 79,74,125,222
42: 12,47,133,77,73
43: 65,80,228,20,164,60
44: 171,93,199,97,229
45: 119,55,75,217,227,203
46: 52,83,51,84,38
47: 12,42,168,231,22,133,32,118
48: 211,183,108,179,10
49: 71,70,141
50: 91,90,68,123,161,198,218
51: 84,46
52: 46,6,83,31,202,57
53: 186,20,6,83,8,80
54: 17,213,163,125
55: 33,119,184,217,45,110
56: 158,177,224,111,166,69,157
57: 192,202,52,6,142
58: 132,63,62,196,200,111
59: 188,71,33,184
60: 167,153,182,65,43
61: 104,116,113,196,200,24
62: 196,63,58,215
63: 132,58,176,215,62
64: 107,92
65: 43,80,67,201,228,167,60,207
66: 41,222
67: 65,201,228,148,8,135
68: 50,90,210,123,226
69: 126,110,157,132,176,56
70: 159,141,71,75,217,49
71: 59,184,217,49,70
72: 32,26,173,87,94,105
73: 171,77,40,12,42,197
74: 41,125,213,99,136,222
75: 217,45,227,203,159,70,156
76: 178,139,197,117,40
77: 171,73,133,42,137,93
78: 127,81,30
79: 41,107,204
80: 65,43,228,20,53,8
81: 127,216,30,140,78,154
82: 36,99,145,37,205
83: 46,52,6,84,186,53
84: 51,190,46,83,186,102
85: 35,181,121,91,150,170,218
86: 178,171,40,97,134,18
87: 158,224,21,94,96,72,173
88: 154,107,92,204,122,13
89: 36,99,19,213,139
90: 50,91,68,210,130,129,121
91: 50,90,85,121,218
92: 154,107,88,216,64
93: 129,137,171,77,44,210,229
94: 227,105,96,87,72
95: 176,215,100,126
96: 94,158,224,87,119
97: 108,199,171,44,86,18
98: 129,137,193,209,26
99: 36,82,89,213,74,136,145
100: 221,95,126
101: 156,189,106,193,209,194,130
102: 186,109,84,29,190
103: 117,208,9,149,17
104: 114,116,61,14,113,39
105: 227,94,203,72,26,189,193
106: 101,156,159,115,195,194
107: 92,88,204,64,79
108: 199,97,179,18,48,183
109: 186,20,102,29,16,146,164
