0: 191,295
220: 214,365,142,25,165,206,175
221: 100,33,188,259
222: 66,377,345,469,74
223: 14,283,452
224: 157,357,158,324,87,21
225: 415,389,153,371,140,256
226: 210,68,229,291,199,384
227: 428,247,94,420,203,105,189
228: 80,271,8,67,65,201
229: 328,429,444,471,210,226,93,384
230: 431,9,144,476,151,375
231: 147,468,263,22,238,459
232: 43,60,417,449,242,418
233: 138,198,50,366,368,474
234: 24,427,200,111,166,302
235: 281,72,253,397,173,464,317
236: 47,168,279,396,118,273,481
237: 127,434,287
238: 396,421,124,459,22,27,231
239: 415,153,60,449,182,350
240: 204,322,41,346,377,345
241: 211,351,219,373,10,374
242: 319,164,146,43,232,418
243: 294,446,477,441,401,265,82
244: 150,143,413,218,85
245: 98,137,303,210,356,129,93,467
246: 381,105,193,189,382,156,209
247: 428,119,45,227,203
248: 13,408,416,163,125
249: 359,21,376,177,185,426
250: 335,325,296,163,54,301
251: 390,321
252: 318,113,452,14,439,39
253: 359,262,376,397,317,235
254: 47,168,42,285,378,414
255: 191,35
256: 216,280,140,81,225,371
257: 284,438,149,155,17,9,208
258: 79,41,268
259: 188,59,221,33,361,55
260: 11,145,66
261: 15,206,175,22,131,147
262: 359,87,253,96,317,420
263: 147,468,173,464,231,118,459
264: 344,311,330,129,68,419,90
265: 37,34,205,243,294,82
266: 383,184,55,424,410,217
267: 410,337,404,184,71,49
268: 41,258,66,345
269: 337,141
270: 64,293,79
271: 274,80,228,43,417,65
272: 152,370,28,23,18,134,179,463
273: 396,421,481,144,236,168,12
274: 80,271,20,355,164,43
275: 187,350,207,60,417,65
276: 78,81,363
277: 91,385,419,121,344,343
278: 474,314
279: 236,47,409,173,118,354,281
280: 367,216,256,81,363,287
281: 354,32,235,72,173,279
282: 18,308,86,310,178,134,112
283: 440,223,114,452
284: 257,149,155,167,187,162,120
285: 12,388,391,378,254,168
286: 180,362,305,315,211,219
287: 237,127,434,363,367,280
288: 403,29,16
289: 451,32,72,105,193,26
290: 139,19,432,480,89,398,36,369
291: 123,402,442,90,68,226,199
292: 100,390
293: 270,313,107,322,79
294: 243,99,446,36,332,265,205
295: 141,340,364,191,0
296: 335,325,250,169,103,17
297: 102,20,190,355,186,353
298: 51,430,160,84
299: 176,334,406,342,387,126
300: 423,215,95,321,436
301: 89,393,325,250,54,432
302: 177,185,165,234,427,166
303: 137,245,307,77,360,93,471
304: 183,97,425,478,108,48,315
305: 180,286,219,314,339
306: 388,391,379,169,103,309
307: 443,137,303,133,409,42,77
308: 282,310,450,178,399,40
309: 76,348,479,306,388,169,117,472
310: 308,86,282,450,460
311: 330,264,456,209,129,467
312: 106,115,156,323,382,101
313: 64,293,336,107,92
314: 180,305,278,474
315: 286,362,304,478,48,211
316: 170,35,394
317: 451,420,262,253,235,72
318: 113,114,252,452,466,448
319: 16,242,164,109,403,146,453
320: 212,372,457,128
321: 251,390,300,334,436
322: 240,204,41,107,293,79
323: 156,75,70,159,115,312
324: 56,69,158,406,455,224,357
325: 250,296,169,432,472,480,301
326: 110,387,126,361,33,458
327: 157,357,110,329,352,475,386
328: 171,229,429,471,360,93
329: 110,126,327,455,357
330: 344,130,311,101,264,209
331: 146,453,7
332: 36,358,294,23,205
333: 160,473,29
334: 405,299,176,436,390,321,342
335: 250,296,149,17,416,163
336: 64,313,367,434,92
337: 267,404,49,269,141
338: 435,13,408,122,88,154
339: 374,305,219
340: 295,141,364,159,115,195
341: 147,468,397,464,426,15,376
342: 390,299,334,100,458,387
343: 394,400,277,385,121,85
344: 130,330,264,277,419,121
345: 66,377,222,240,41,268
346: 54,125,240,204,433,377
347: 38,14,39
348: 197,40,309,479,388,378
349: 160,473,430,102,190
350: 167,187,275,60,153,239
351: 241,373,10,28,212,372
352: 383,424,110,327,475,386
353: 186,83,297,355,6,53
354: 133,32,281,409,279
355: 20,297,353,274,53,80
356: 210,129,93,467,245
357: 327,455,224,157,324,329
358: 36,369,134,332,112,23
359: 87,262,21,249,376,253
360: 77,73,303,93,171,328,471
361: 110,326,33,259,383,55
362: 180,286,315,478,161
363: 276,81,280,127,287
364: 295,340,195,191,35,181
365: 202,220,214,142,57,174
366: 143,413,233,198,368
367: 216,280,434,287,154,92,336
368: 366,233
369: 36,358,112,139,290,398
370: 152,128,272,28,372
371: 389,225,122,216,256,154
372: 320,212,128,370,28,351
373: 241,351,212,457,374
374: 339,241,219,373
375: 151,437,465,447,9,230,155
376: 359,249,253,426,341,397
377: 222,345,346,240,74,433
378: 285,388,254,414,197,348
379: 12,306,391,431,208,438,103
380: 411,461,392,62
381: 193,246,98,456,209
382: 189,246,156,312,101,209
383: 266,55,424,352,110,361
384: 199,425,226,229,444
385: 277,91,121,343,85,218
386: 428,119,96,475,327,157,352
387: 326,126,342,299,458
388: 285,306,391,378,348,309
389: 162,225,153,371,122
390: 251,321,342,334,292
391: 12,285,306,388,379,103
392: 62,380,411
393: 89,213,74,433,301,54
394: 343,400,35,170,316,85
395: 412,6,172,470,192,57
396: 238,421,273,459,481,236
397: 341,173,464,376,253,235
398: 89,454,290,36,369,99
399: 197,40,73,171,308,450
400: 343,394,181,194,121
401: 145,441,136,243,477
402: 442,291,90,91,419,407
403: 288,29,102,16,319,109
404: 410,337,267,70,159,141
405: 176,334,436,63,95
406: 299,176,69,324,126,455
407: 198,50,91,402,442,143,218
408: 248,435,13,338,120,416
409: 47,42,279,354,133,307
410: 267,70,404,217,184,266
411: 215,380,63,95,461,392
412: 395,6,52,83,202,57
413: 150,143,244,366
414: 77,73,254,42,378,197
415: 225,153,239,182,140
416: 248,408,120,149,335,163
417: 43,232,60,271,65,275
418: 182,242,146,7,232,449
419: 277,91,344,264,402,90
420: 451,94,317,262,428,96,227
421: 396,238,273,124,144,476
422: 25,24,448,427,113,214
423: 300,215
424: 383,266,352,119,45,475,217
425: 304,199,183,97,384,444
426: 185,15,249,376,341
427: 25,24,234,422,302,165
428: 119,247,96,386,227,420
429: 171,229,328,444,460,450
430: 298,160,349,84,186,190
431: 9,208,144,230,12,379
432: 19,290,480,325,89,301
433: 74,393,54,346,377
434: 237,287,367,336
435: 408,338,120,162,122
436: 405,334,300,95,321
437: 201,151,375,465,447
438: 257,17,208,379,103
439: 39,31,174,113,252
440: 283,116,104,114
441: 11,401,243,82
442: 123,402,291,50,407
443: 137,26,307,133,32
444: 229,429,460,44,97,425,384
445: 49
446: 243,294,99,477,462
447: 375,437,465,187,207,155
448: 24,422,466,318,113,61
449: 232,60,182,418,239
450: 308,310,399,171,429,460
451: 94,289,317,420,72,105
452: 318,114,252,223,14,283
453: 331,146,16,319
454: 89,213,398,462,99
455: 357,406,69,324,126,329
456: 311,209,381,98,129,467
457: 320,212,373
458: 100,33,342,387,326
459: 396,238,118,481,263,231
460: 429,444,86,310,450,44
461: 380,411,63,58
462: 136,213,454,99,446,477
463: 108,179,18,86,134,272
464: 341,468,397,263,173,235
465: 65,201,375,437,447,207
466: 104,318,114,61,196,448
467: 356,129,98,245,311,456
468: 147,341,263,464,231
469: 66,222,136,74,145
470: 395,6,192,53,8
471: 171,229,328,303,360,93
472: 117,19,480,325,169,309
473: 160,333,349,29,102
474: 278,233,138,180,314
475: 119,386,327,424,352
476: 144,230,151,421,124
477: 243,99,446,136,462,401
478: 304,183,161,362,315
479: 197,178,76,40,348,309,117
480: 117,19,432,290,472,325
481: 396,118,273,459,236
