0: 35,70
6: 53,52,83,31,8,57
7: 20,43,16,30
8: 27,57,53,6,80,67
9: 13,65,67,12,19,17,103
10: 48,18,44,28
11: 37,74,99
12: 27,9,67,47,73,103
13: 65,9,60,88,17,54
14: 39,104,38,58
15: 24,21,31,22,57
16: 29,20,7,102
17: 19,36,13,9,89,54
18: 97,44,77,40,28,86,10
19: 17,36,76,103,9
20: 7,80,43,102,16,53
21: 24,56,15,22,32,87
22: 27,57,21,15,32,47
23: 34,28,82,86,36,76
24: 21,56,15,25,61
25: 39,31,104,24
26: 72,98,32,105,42,93,77
27: 8,22,12,57,67,47
28: 34,23,86,18,10
29: 16,51,84,102
30: 78,7,43,81
31: 39,25,6,52,15,57
32: 72,26,21,22,42,47
33: 100,59,95
34: 28,23,37
35: 0,101,91,90,85
36: 19,17,76,99,89,23,82
37: 11,99,34,82
38: 46,14,39,52
39: 14,31,25,104,38,52
40: 42,73,76,18,77,86
41: 74,54,88,79,66
42: 40,47,73,32,26,77
43: 20,7,80,30,60
44: 97,18,68,50,48,10
45: 70,75,94,98,101
46: 51,84,38,52,83
47: 42,73,22,12,27,32
48: 10,44,50
49: 70,71
50: 91,68,44,48
51: 46,84,29
52: 6,83,38,46,39,31
53: 6,83,20,80,102,8
54: 74,89,41,13,88,17
55: 71,75,94,59,96
56: 24,21,69,61,96,87
57: 8,22,27,31,6,15
58: 62,14,104,61
59: 69,95,33,71,55
60: 13,65,43,81,88
61: 63,69,58,104,24,56
62: 58,63
63: 69,61,95,62
64: 79,78,92
65: 13,9,60,67,80
66: 74,41
67: 65,9,8,12,27
68: 91,93,90,97,44,50
69: 63,59,61,95,96,56
70: 45,71,75,49,0
71: 70,55,75,59,49
72: 32,26,87,105
73: 40,42,47,12,76,103
74: 99,89,54,41,66,11
75: 45,70,71,55,94
76: 19,36,103,40,73,23,86
77: 97,18,26,40,42,93
78: 30,81,92,64
79: 64,92,41
80: 20,43,53,8,65
81: 92,88,30,78,60
82: 23,36,99,37
83: 53,6,52,46,84
84: 46,51,29,83,102
85: 35,91
86: 28,23,40,76,18
87: 72,105,96,21,56,94
88: 81,92,13,60,54,41
89: 74,99,54,17,36
90: 101,91,68,93,98,35
91: 68,90,35,50,85
92: 81,88,78,64,79
93: 68,90,98,26,97,77
94: 45,55,75,96,87,105
95: 63,69,59,33
96: 69,56,55,94,87
97: 18,44,77,68,93
98: 26,105,45,101,93,90
99: 74,89,36,82,37,11
100: 33
101: 90,45,98,35
102: 20,84,29,16,53
103: 19,76,12,9,73
104: 14,39,25,58,61
105: 72,98,26,87,94
