0: 295,191,255
6: 53,52,57,192,83,8
7: 30,331,182,232,242
8: 80,53,6,192,228,67
9: 208,155,230,257,103,17
10: 179,28,48,351,241
11: 145,260,82
12: 285,306,273,208,144,168
13: 248,88,338,120,163,125,204
14: 223,114,39,252,318
15: 147,341,185,261,175,249
16: 288,319
17: 296,335,9,257,149,103
18: 272,86,134,282,179,108
19: 89,290,301,325,117,139
20: 274,355,102,297,109,43,164
21: 158,87,253,249,177,185,224
22: 238,231,261,131,27,147,263
23: 294,205,332,358,272,134,152
24: 113,61,25,200,302,234
25: 24,113,214,302,165,220
26: 98,137,133,32,289,193
27: 131,148,135,22,238,124
28: 10,179,351,272,320,152
29: 102,349,333,288,109
30: 78,7,182,140,81
31: 38,39,46,202,174,52
32: 72,281,279,289,354,26,133
33: 110,326,259,55
34: 128,152,205,265,37
35: 316,181,191,195,255
36: 89,290,99,294,332,243
37: 82,265,34
38: 39,31,347,51,46
39: 38,31,347,14,252,174
40: 197,178,76,171,73,310,308
41: 258,79,322,240,268
42: 77,73,354,254,47,307
43: 232,164,242,274,20,271,60
44: 229,93,97,310,328,86
45: 217,119,247,266,203,75
46: 51,84,83,38,31,52
47: 254,236,168,279,354,42
48: 10,179,108,304,315,211,241
49: 337,267,141,71,269
50: 123,161,198,91,291,138
51: 84,46,298,38
52: 6,57,31,46,83,202
53: 6,353,83,80,8
54: 163,125,250,301,213,74
55: 184,259,110,33,266,352
56: 132,111,69,166,324,158
57: 52,6,192,202,142,172
58: 62,196,200,63,132,111
59: 184,259,188,267
60: 275,239,350,271,43,232,65
61: 24,113,318,104,196,200
62: 196,58,63
63: 215,62,58,176,132
64: 270,313,293
65: 201,228,207,271,60,275
66: 260,222,268
67: 201,228,135,192,8,148
68: 210,90,226,129,264,291
69: 132,56,299,176,324,126
70: 337,267,217,159,75
71: 59,49,267
72: 32,281,289,235,94,262
73: 171,77,42,254,348,197,40
74: 136,213,54,346
75: 159,156,323,217,45,203,70
76: 197,178,117,139,40,309,348
77: 171,328,73,42,307,303,93
78: 30,276,81
79: 258,322,41,293,270
80: 274,8,355,53,228
81: 140,256,78,30,276,280
82: 243,265,145,11
83: 84,46,186,53,52,6,353
84: 51,46,186,83,298,190
85: 277,343,218,121,170,244
86: 18,282,308,44,97,310,108
87: 253,21,224,96,262,317
88: 122,13,338,154,107,92,204
89: 36,19,290,301,99,213
90: 68,264,121,344,277,91,291
91: 50,198,291,90,277,218
92: 336,107,313,154,216,88
93: 44,229,245,303,77,328,210
94: 227,262,105,317,72,289
95: 300,334,176,215,321
96: 119,247,224,157,357,87,317
97: 44,229,86,304,199,108
98: 137,245,26,311,209,193,356
99: 136,213,145,36,89,243
100: 221,292,342
101: 130,194,330,312,209,106
102: 29,190,297,349,186,109,20
103: 306,169,208,9,17,296
104: 114,283,116,61,318
105: 227,94,289,193,189,246
106: 115,195,323,312,194,101
107: 313,92,293,88,204,322
108: 179,48,97,18,86,304
109: 288,319,102,29,20,164
110: 326,33,329,126,327,55,352
111: 132,56,58,200,234,166
112: 290,178,139,134,282,332,358
113: 252,24,61,318,25,174,214
114: 223,14,104,283,318
115: 106,195,340,159,323
116: 283,104,196
117: 76,139,309,169,325,19
118: 281,279,263,173,231,236
119: 247,45,266,352,96,157,327
120: 248,122,13,338,162,284,149
121: 130,194,344,90,277,85,343
122: 88,338,162,120,225,154
123: 50,161,291,226,199,183
124: 230,144,27,135,151,238
125: 163,54,346,204,13,240
126: 324,329,299,69,110,326
127: 280,287,276,237
128: 34,320,152
129: 210,356,68,264,245
130: 121,194,330,101,344
131: 172,148,27,261,206,22
132: 56,111,69,63,58,176
133: 307,137,26,32,354
134: 18,272,282,112,23,358
135: 201,67,151,148,27,124
136: 99,213,145,74,260,222,345
137: 307,98,245,303,26,133
138: 233,50,161,198,180,278
139: 178,117,76,112,19,290
140: 256,81,225,153,30,182
141: 49,337,159,295,269
142: 202,214,57,220,206,172
143: 150,244,218,198,233
144: 208,124,230,238,273,12
145: 99,136,260,243,82,11
146: 319,164,242,331
147: 341,15,263,173,261,22
148: 172,131,27,192,67,135
149: 284,257,248,120,17,335
150: 143,244
151: 201,135,207,124,155,230
152: 34,128,272,23,205,28
153: 140,225,182,167,239,350,162
154: 256,225,216,122,88,92
155: 9,230,207,151,187,257
156: 323,75,203,312,189,246
157: 224,327,357,119,96
158: 21,56,177,166,324,224
159: 323,75,337,70,141,115
160: 333,298,190,349
161: 123,50,183,286,138,180
162: 122,120,167,225,153,284
163: 54,125,248,13,250,335
164: 43,242,319,146,109,20
165: 177,302,185,25,220,175
166: 177,302,234,56,111,158
167: 275,350,153,284,187,162
168: 254,236,47,273,12,285
169: 306,309,103,325,296,117
170: 316,85,244
171: 77,328,73,40,310
172: 131,148,142,57,192,206
173: 147,341,235,263,118,281
174: 202,214,39,31,252,113
175: 261,220,206,165,185,15
176: 95,299,334,63,132,69
177: 302,165,166,185,158,21
178: 76,139,40,112,282,308
179: 10,28,48,108,18,272
180: 278,314,305,161,286,138
181: 35,195,194,343
182: 30,7,232,239,140,153
183: 304,199,315,286,123,161
184: 59,259,55,217,266,267
185: 177,165,175,21,249,15
186: 84,83,102,190,297,353
187: 284,257,207,167,275,155
188: 221,59,259
189: 312,246,203,227,105,156
190: 102,349,298,160,84,186
191: 195,340,295,0,255,35
192: 6,57,8,172,148,67
193: 209,246,105,289,98,26
194: 121,130,101,106,195,181,343
195: 106,191,115,340,194,35,181
196: 62,58,200,116,61
197: 76,40,254,309,348,73
198: 50,91,218,143,233,138
199: 304,183,226,229,97,123
200: 196,58,24,61,111,234
201: 65,228,67,135,207,151
202: 174,214,142,31,52,57
203: 247,45,227,156,75,189
204: 125,13,88,107,322,240
205: 294,23,265,34,152
206: 261,220,175,142,172,131
207: 65,201,151,275,155,187
208: 9,230,144,12,306,103
209: 312,193,246,98,311,330,101
210: 68,226,129,245,229,93
211: 305,315,286,48,241,219
212: 241,339,351,320
213: 99,136,74,54,89,301
214: 202,174,142,113,25,220
215: 63,95,300
216: 280,287,256,154,336,92
217: 45,266,184,267,70,75
218: 277,85,198,91,143,244
219: 241,339,305,211
220: 206,175,25,214,142,165
221: 100,33,188,259
222: 66,260,345,136
223: 14,114
224: 324,157,357,158,87,21,96
225: 140,256,153,154,122,162
226: 210,68,229,123,291,199
227: 94,105,317,247,203,189
228: 65,201,67,274,80,8,271
229: 44,93,97,210,226,199
230: 208,9,124,155,144,151
231: 22,238,273,263,118,236
232: 43,242,7,182,60,239
233: 138,198,143
234: 302,166,200,24,111
235: 341,173,253,262,72,281
236: 47,168,231,273,118,279
237: 127,287
238: 22,231,273,27,124,144
239: 60,275,350,232,182,153
240: 322,41,346,125,204,345,268
241: 212,339,219,10,48,351,211
242: 43,232,164,146,7,331
243: 82,265,36,99,145,294
244: 150,143,170,85,218
245: 98,137,303,311,210,356,129,93
246: 312,209,193,189,105,156
247: 119,45,96,203,227,317
248: 13,338,120,149,335,163
249: 253,21,185,341,15
250: 325,296,335,163,54,301
251: 321,300
252: 113,318,14,39,174
253: 87,21,249,341,235,262
254: 47,168,285,348,73,42,197
255: 0,191,35
256: 140,81,225,154,216,280
257: 284,187,149,9,155,17
258: 79,41,268
259: 59,184,55,33,188
260: 66,222,136,145,11
261: 206,175,131,147,15,22
262: 94,317,87,253,235,72
263: 147,173,22,231,118
264: 356,90,68,129,311,330,344
265: 243,82,294,205,34
266: 217,119,45,352,184,55
267: 49,337,70,59,184,217
268: 66,345,258,41,240
269: 49,141
270: 64,293,79
271: 274,43,65,228,60
272: 18,134,23,179,28,152
273: 238,231,144,236,168,12
274: 20,80,271,355,43,228
275: 167,60,239,350,65,207,187
276: 78,81,127,280
277: 85,218,121,90,91
