0: 491,710,723,674,765,698
6: 52,552,999,1145,395,683,744
7: 182,520,331,696,973
8: 67,192,799,656,694,80,809
9: 1105,732,155,997,940,375,447,230
10: 351,949,883,1162,595,926
11: 583,401,1132,1120,591
12: 1183,880,584,273,556,801,285,168
13: 88,981,338,408,248,942
14: 439,695,39,791,634,566
15: 175,898,261,579,426,341,468
16: 403,1034,649,453
17: 149,602,1168,438,700,578
18: 282,855,178,310,680,86
19: 76,722,398,432,1021,917,139
20: 274,762,355,109,1058,53
21: 177,763,709,874,620,1121,603,87
22: 919,743,854,1051,231,753
23: 818,370,1191,272,1124,878,1148,152
24: 1206,492,746,538,1044,494,234
25: 1046,214,945,712,1110,1004
26: 193,289,1092,1102,443,675,98,137
27: 148,131,919,743,135,1049,238
28: 1162,595,882,687,372,1069
29: 473,288,1196,757,1123,705,841
30: 81,78,973,182,824,140
31: 791,634,643,412,202,985,999
32: 1125,519,1185,1083,937,568,289,864,443
33: 259,361,729,895,110,458
34: 128,1150,152,738,641
35: 191,1012,1020,778,711,394,1106
36: 369,358,541,290,573,878,332
37: 265,82,1203,707,755
38: 1173,889,46,39,791,643
39: 347,557,1173,38,14,695,791
40: 619,479,528,839,197,802,348
41: 345,1088,482,268,724
42: 279,952,748,254,662,409,414
43: 274,762,995,733,417,271
44: 956,852,97,108,460,546
45: 1202,1207,424,266,607,1192
46: 889,38,881,298,1029,643
47: 681,168,254,1186,556,678,748,1119
48: 1091,1099,978,840,646,1031
49: 445,1189,691,580
50: 161,123,1094,637,138
51: 889,685,881
52: 829,552,6,985,83,999,1145
53: 102,109,297,914,20,355
54: 163,671,938,1087,484,847
55: 188,59,601,525,259,361
56: 1023,927,590,1056,690,761,736
57: 1065,365,554,945,717,759
58: 132,684,1033,1208,461,531,772
59: 188,55,1045,601,505
60: 501,275,886,232,756,449
61: 946,735,448,318,466,196
62: 868,1174,644,104,754,534
63: 816,176,95,531,684,1208,727
64: 582,270,1127,313,860
65: 809,417,271,228,1128,975,80,67
66: 145,833,830,345,724,642
67: 192,8,809,65,228,201,585
68: 827,264,356,1176,920,503,963,977
69: 690,761,727,176,406,324,513
70: 910,843,793,720,608,1022
71: 691,533,615,1045,1189,944
72: 451,289,1152,519,1083,508
73: 872,360,879,1040,1096,807,529
74: 469,609,1143,393,222,833
75: 899,1166,720,608,1153,605,203,771
76: 19,722,851,1021,619,702,564,139
77: 632,1163,948,597,414,965,1025,667,409,1040
78: 81,30,973,536
79: 758,808,487,258
80: 762,355,656,8,809,65,271
81: 78,30,536,276,140,1074,363
82: 37,1203,441,495,707
83: 829,52,552,84,430,186
84: 298,561,160,430,829,83
85: 343,716,385,1000,244,1111
86: 463,546,680,282,18,310,852
87: 831,359,1158,21,763,620,673
88: 13,338,740,125,942,204
89: 984,301,486,480,996,1071
90: 402,419,1019,739,811,517
91: 569,407,218,1210,850,811,419
